placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes
https://www.google.com/maps/place/Outpatient+Parking+Lot/data=!4m7!3m6!1s0x89ba9868721de7dd:0xbb336ce60b2191cb!8m2!3d36.8620454!4d-76.3051741!16s%2Fg%2F11gfxj1xl1!19sChIJ3ecdcmiYuokRy5EhC-ZsM7s,Outpatient Parking Lot,4.8,5,Parking lot,"8 Gresham Dr, Norfolk, VA 23507, United States","VM6V+RW Norfolk, Virginia, USA",https://www.sentara.com/hospitalslocations/locations/sentara-norfolk-general-hospital/directions-parking.aspx,+1 757-388-3000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2-rqkcWRqSlTbs_PN0bnix-x2SmKC1ebKeS5_hEAFNWyFfA434LLWZsuAZ5XndSzTIDMGNGwMOzfaWw0OadMVpH6Noj2FjVtDokGBCVPeshXOcmhYZR6aWkLOOidMq27MJeV5ig=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:56.507Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Sentara+Norfolk+General+Hospital+Parking+Garage/data=!4m7!3m6!1s0x89ba9960894163af:0x9c4fe2c6019a0316!8m2!3d36.8635225!4d-76.3036661!16s%2Fg%2F11h23k6glg!19sChIJr2NBiWCZuokRFgOaAcbiT5w,Sentara Norfolk General Hospital Parking Garage,3.8,11,Parking garage,"600 Gresham Dr, Norfolk, VA 23507, United States","VM7W+CG Norfolk, Virginia, USA",https://www.sentara.com/hampton-roads-virginia/hospitalslocations/locations/sentara-norfolk-general-hospital/directions-parking.aspx,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoS2j4NkUbTd11aTRACMQ4gPMCb1e02s_-trkT9Q3ND68L_lgyjW_Bm4wJmzwthtyvnud98SnX0dO4LYBT6mfXc-8Kqa4q__kf1mjOGuzkp5rUnyFK057pr0LVjC9MjFecv-Ob=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:59.419Z,,,,,,,,,
https://www.google.com/maps/place/Boush+Street+Garage/data=!4m7!3m6!1s0x89ba980ce5aa6add:0x33d1aaa1712f687b!8m2!3d36.8484763!4d-76.2922679!16s%2Fg%2F11b781906_!19sChIJ3Wqq5QyYuokRe2gvcaGq0TM,Boush Street Garage,3.7,58,Parking garage,"112 W City Hall Ave, Norfolk, VA 23510, United States","RPX5+93 Norfolk, Virginia, USA",http://www.norfolk.gov/,+1 757-664-6222,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvPuqyKPHKXLXQ1qxl0WA7kHSRLGjfWAv68u7z5CsnzrZN2tAQrBPVKG1HCVbO52onUn11uoraU2Y8Tj4DnioEIKDkOiPPcur3b7nUx4AIlUNumPkYPOMdp5YUGEZ-2qvYNxO4UA=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:02.271Z,,,,,,,,,
https://www.google.com/maps/place/Town+Point+Garage/data=!4m7!3m6!1s0x89ba980ca1c58ec1:0xa4e855e86cf4d8d3!8m2!3d36.8466167!4d-76.2928632!16s%2Fg%2F11c5rpnpz9!19sChIJwY7FoQyYuokR09j0bOhV6KQ,Town Point Garage,4.0,52,Parking garage,"110 W Main St, Norfolk, VA 23510, United States","RPW4+JV Norfolk, Virginia, USA",http://norfolk.gov/parking,+1 757-664-6222,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUKpmlc7sIdiWmyvm0bMq35HqrMEj0ZY0D56PVF6xXUqn5JOfcxSPQLtTIquqfPhn2mY9imcFERg425hdro4wHEehBgxXQeXnVQXnc1O6Bb9fD_FPcFMTpNqtXIq2WVvjZI6kDFA=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:05.159Z,,,,,,,,,
https://www.google.com/maps/place/Fountain+Park+Garage/data=!4m7!3m6!1s0x89ba980c0f24dbc3:0x3c1395681fa59d74!8m2!3d36.8466568!4d-76.2889784!16s%2Fg%2F11c2kgc5vn!19sChIJw9skDwyYuokRdJ2lH2iVEzw,Fountain Park Garage,2.9,19,Parking garage,"130 Bank St, Norfolk, VA 23510, United States","RPW6+MC Norfolk, Virginia, USA",http://norfolk.gov/parking,+1 757-664-6222,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCpej4yPCXq3c9O5k6RZAvV6soyLfQm3bxAUxGRhD10jISrtTwi1aYPRx2kWICTKTKV1qQbn-Phb3hjnfHTMVz91LDitdEY0fH6gqaCrjb3X1I8JjZas8tmbpT_KxdnWxF5FUh=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:08.368Z,,,,,,,,,
https://www.google.com/maps/place/Commercial+Parking+Garage/data=!4m7!3m6!1s0x89ba980eb42fa089:0x8511db37418cab49!8m2!3d36.8462684!4d-76.2877774!16s%2Fg%2F11dd_t2grq!19sChIJiaAvtA6YuokRSauMQTfbEYU,Commercial Parking Garage,,,Parking garage,"500 E Main St, Norfolk, VA 23510, United States","RPW6+GV Norfolk, Virginia, USA",http://www.norfolk.gov/Facilities/Facility/Details/Commercial-Place-Garage-6,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxL90EN5YH67UILLQkd_rnFxjMvm9QFgm1QxbApam_ttHtyyu1QQs6lTS1IHfEvNY2eiAu96x5xx_G2MNEVYSHv1CIiNzlh0XpwRQs7GQNWbWG2u5Hw90Qwr1x82_1jq38nDDn4IxS2q60=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:11.116Z,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x89ba99f8bbb92e9d:0xf7b964c973c32489!8m2!3d36.851639!4d-76.290393!16s%2Fg%2F11ycxttvdl!19sChIJnS65u_iZuokRiSTDc8lkufc,parkingmgt.com,,,Parking lot,"114 W Freemason St, Norfolk, VA 23510, United States","VP25+MR Norfolk, Virginia, USA",https://parkingmgt.com/convenient-parking-at-114-w-freemason-st-easy-access-to-downtown-norfolk/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kQQevi8wd_MUvkB1SCCetw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.4338427&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:15.932Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x89ba99615ff4dbb7:0x39ead19bcf8d0ccd!8m2!3d36.8476242!4d-76.2853904!16s%2Fg%2F11w2h0fhhh!19sChIJt9v0X2GZuokRzQyNz5vR6jk,parkingmgt.com,,,Parking lot,"201 St Pauls Blvd, Norfolk, VA 23510, United States","RPX7+2R Norfolk, Virginia, USA",https://parkingmgt.com/parking-201-saint-pauls-blvd-norfolk/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kYPFP0bgBBncnRaZc9Ghwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.5397&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:20.753Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Norfolk+City+Parking+Enfrcmnt/data=!4m7!3m6!1s0x89ba980d00000001:0xc830bc85d1b6eb78!8m2!3d36.8461078!4d-76.2909664!16s%2Fg%2F1hc6y54_6!19sChIJAQAAAA2YuokReOu20YW8MMg,Norfolk City Parking Enfrcmnt,1.6,12,City government office,"222 E Main St, Norfolk, VA 23510, United States","RPW5+CJ Norfolk, Virginia, USA",,+1 757-441-1040,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qx92ah88f2JNADfETr8Mvg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.347878&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:23.668Z,,,,,,,,,
https://www.google.com/maps/place/Norfolk+Hilton+at+the+Main+Parking+Garage+Entrance/data=!4m7!3m6!1s0x89ba990001038a41:0xf8cf68d740b71b61!8m2!3d36.8470462!4d-76.2911233!16s%2Fg%2F11w2js1j4q!19sChIJQYoDAQCZuokRYRu3QNdoz_g,Norfolk Hilton at the Main Parking Garage Entrance,4.8,4,Parking garage,"185-201 E Plume St, Norfolk, VA 23510, United States","RPW5+RH Norfolk, Virginia, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G1zG8Sjqs3zUg7wrsNvooQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.84001&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:15:26.484Z,,,,,,,,,
"https://www.google.com/maps/place/New+Beginnings+Parking+%26+Access+Controls,LLC/@36.7649661,-76.2300874,17z/data=!3m1!4b1!4m6!3m5!1s0x89babdf4bee4c89d:0x5de13e70707c7fad!8m2!3d36.7649661!4d-76.2300874!16s%2Fg%2F11kql_xfkt","New Beginnings Parking & Access Controls,LLC",5.0,1,Corporate office,"929 Ventures Way #103, Chesapeake, VA 23320, United States","QQ79+XX Chesapeake, Virginia, USA",https://www.nbpacllc.com/contactus,+1 757-800-1570,Open ⋅ Closes 9 pm,,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chesapeake+VA/@36.7682088,-76.2874927,14z",2025-10-28T19:15:42.087Z,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,,
https://www.google.com/maps/place/725+Woodlake+Drive+Parking/data=!4m7!3m6!1s0x89babcfd1688f933:0x5ec44e6297afa092!8m2!3d36.7899277!4d-76.2342426!16s%2Fg%2F11gd67zzrk!19sChIJM_mIFv28uokRkqCvl2JOxF4,725 Woodlake Drive Parking,3.8,6,Parking lot,"725 Woodlake Dr, Chesapeake, VA 23320, United States","QQQ8+X8 Chesapeake, Virginia, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gaWcLZYBQG3l1BQi6a4nLw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.50934&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chesapeake+VA/@36.7682088,-76.2874927,14z",2025-10-28T19:15:45.862Z,,,,,,,,,
https://www.google.com/maps/place/CityParking+Inc./data=!4m7!3m6!1s0x89b16ce2e6f5f7b1:0xa0f6dc060708aa1b!8m2!3d37.5358745!4d-77.4356571!16s%2Fg%2F1tj5rm6p!19sChIJsff15uJssYkRG6oIBwbc9qA,CityParking Inc.,2.5,43,Parking garage,"1051 E Cary St Suite 601, Richmond, VA 23219, United States","GHP7+8P Richmond, Virginia, USA",http://www.cityparkingonline.com/,+1 804-344-3353,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOd-BOK0RCIckofpLp4NnryBVa2KRTYoXJdWFer=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Richmond+VA/@37.5407246,-77.4360481,14z",2025-10-28T19:16:01.372Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,,
"https://www.google.com/maps/place/Pivot+Parking+Richmond,+VA/data=!4m7!3m6!1s0x89b1119203e1a9bb:0xc728b64165c27fa7!8m2!3d37.5401917!4d-77.4362222!16s%2Fg%2F11kpn9dwx5!19sChIJu6nhA5IRsYkRp3_CZUG2KMc","Pivot Parking Richmond, VA",1.9,7,Parking lot,"112 N 8th St, Richmond, VA 23219, United States","GHR7+3G Richmond, Virginia, USA",http://www.pivotparking.com/,+1 833-467-4868,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JeXS01CLBpx1BL1Ktk0_9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.03827&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Richmond+VA/@37.5407246,-77.4360481,14z",2025-10-28T19:16:04.361Z,,,,,,,,,
https://www.google.com/maps/place/VCU+West+Cary+Street+Parking+Deck/data=!4m7!3m6!1s0x89b111430e65c4ef:0x90b8e137a170ab33!8m2!3d37.544436!4d-77.456645!16s%2Fg%2F11f5jyzr3h!19sChIJ78RlDkMRsYkRM6twoTfhuJA,VCU West Cary Street Parking Deck,4.5,26,Parking garage,"1201 W Cary St, Richmond, VA 23220, United States","GGVV+Q8 Richmond, Virginia, USA",https://my.vcu.edu/guest/guest_home/_/westcarystreet,+1 804-828-7275,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYUmIzDSXoUjuqU2kDM8JEY1qzTAyiRRP1sc8oRx6bpQ_FWZ4BtfLqqpGfqPA9_Vage9ji8djTVfy0M6jKoMes5q8QhbafA5FOoaUAZAzmVUymuAn0aPT4j1GyQQHnDF8zhjfJiA=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Richmond+VA/@37.5407246,-77.4360481,14z",2025-10-28T19:16:10.067Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/VCU+Eighth+Street+Parking+Deck/data=!4m7!3m6!1s0x89b1112f51516b3d:0xc38a754e58e45b03!8m2!3d37.5454784!4d-77.4302244!16s%2Fg%2F1tfczpnc!19sChIJPWtRUS8RsYkRA1vkWE51isM,VCU Eighth Street Parking Deck,3.0,23,Parking garage,"659 N 8th St, Richmond, VA 23298, United States","GHW9+5W Richmond, Virginia, USA",http://www.parking.vcu.edu/,+1 804-828-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlozwcrGjZhZJLtOpC4cwe16gG7y1A2OL-6hmcLDfZDN_9ISrT0aCqkjEvzI1w3aEx54Snytnifv3rKEq4G_QwfWrRmPPX1CPTGx6rS1Mqcmh7TCI-LGaGQuIwq5NvmVWClektMA=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Richmond+VA/@37.5407246,-77.4360481,14z",2025-10-28T19:16:13.567Z,,,,,,,,,
https://www.google.com/maps/place/Coliseum+Parking+Deck/data=!4m7!3m6!1s0x89b1112489cc6c73:0x35fd297e1b11f5aa!8m2!3d37.5438724!4d-77.432968!16s%2Fg%2F11dxl75pmf!19sChIJc2zMiSQRsYkRqvURG34p_TU,Coliseum Parking Deck,4.2,36,Parking garage,"501 N 7th St, Richmond, VA 23219, United States","GHV8+GR Richmond, Virginia, USA",https://parking.com/richmond/lot/501-n-7th-coliseum-garage,+1 804-643-0719,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZbc7Wxznz8BXFQNGcFwkV4qcvhQIX6Btb4NM27A2XOyI4O7ROT6NsABx1qERAVdAGfLUNDlfEwTXC1PMnxHNeixmF_8pD_L7naTcA8_Uo1gxrgqGxvOyI5iSf2UeC_4C2g0ScHw=w408-h311-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Richmond+VA/@37.5407246,-77.4360481,14z",2025-10-28T19:16:16.306Z,,,,,,,,,
