placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp
https://www.google.com/maps/place/Joshua+%26+Sons+Electricians+Company/data=!4m7!3m6!1s0x87528b6c714540c1:0x3626b89d3d2d41bf!8m2!3d40.7002944!4d-111.8702755!16s%2Fg%2F11hly9c4vb!19sChIJwUBFcWyLUocRv0EtPZ24JjY,Joshua & Sons Electricians Company,4.8,126,Electrician,,"727 E 3300 S #1710, Salt Lake City, UT 84106, United States","P42H+4V Salt Lake City, Utah, USA",,+1 385-348-4906,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEOpj_8ztJDlSY_4XW97CRBqhWZC6E5iwrejuJGxl4NtdU3cfRQO_Y73uhDCXmCqdcnbalK6bsJ7UNfRtmjRkahLlso-KzeRHTrBgoqxbIBYzeH7dehMfCec8Gs1e27OEF_RY=w408-h612-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:24.814Z
https://www.google.com/maps/place/Romaine+Electric%2FIntermountain+Electric/data=!4m7!3m6!1s0x8752f52688787d3d:0xeccf835e83559100!8m2!3d40.7442654!4d-111.8992647!16s%2Fg%2F11c3s962fl!19sChIJPX14iCb1UocRAJFVg16Dz-w,Romaine Electric/Intermountain Electric,4.7,89,Auto electrical service,,"1125 S 300 W, Salt Lake City, UT 84101, United States","P4V2+P7 Salt Lake City, Utah, USA",,+1 801-521-3400,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOxv0BalsfR0HF6f4KalN5BNU1n6-y5c5T9gO5Z=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:29.907Z
https://www.google.com/maps/place/Express+Electrician/data=!4m7!3m6!1s0x8752f5d9762e570f:0x5322ed59c93db449!8m2!3d40.7582374!4d-111.881966!16s%2Fg%2F11kj3wwxx6!19sChIJD1cudtn1UocRSbQ9yVntIlM,Express Electrician,5.0,12,Electrician,,"310 E 500 S, Salt Lake City, UT 84111, United States","Q459+76 Salt Lake City, Utah, USA",,+1 385-213-4682,Open · Closes 11 pm,,https://lh3.googleusercontent.com/p/AF1QipMVUNJ8Ce8O2IJkLJz7ym0aoi9-xTmMjvHDzEHc=w648-h240-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:34.652Z
https://www.google.com/maps/place/Power+Systems+West/data=!4m7!3m6!1s0x8752f333e401a8d3:0xde072e174c61a509!8m2!3d40.7225011!4d-111.9807821!16s%2Fg%2F1q6j7h7xj!19sChIJ06gB5DPzUocRCaVhTBcuB94,Power Systems West,4.5,11,Store,,"3752 W 2270 S ste f, Salt Lake City, UT 84120, United States","P2F9+2M Salt Lake City, Utah, USA",,+1 800-462-3370,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOUaq3u_7c72lJtGE0oqfqSfRMWRDoiqHi4p5mk=w408-h275-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:39.560Z
https://www.google.com/maps/place/First+Choice+Electricians/data=!4m7!3m6!1s0x8752f5b77e270345:0xdcb6699ff2b9e89a!8m2!3d40.7433747!4d-111.9017796!16s%2Fg%2F11sdn0s0ts!19sChIJRQMnfrf1UocRmui58p9pttw,First Choice Electricians,5.0,12,Electrical installation service,,"365 Paxton Ave, Salt Lake City, UT 84101, United States","P3VX+87 Salt Lake City, Utah, USA",https://firstchoiceslc.wixstudio.com/firstchoiceutah,+1 801-657-3347,Open · Closes 11 pm,,https://lh3.googleusercontent.com/p/AF1QipOJKXA8Dh9NJsfzvnJV4HB9KnAfe-LaEZ19v5WO=w408-h249-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:44.634Z
https://www.google.com/maps/place/Mesquita+Motors/data=!4m7!3m6!1s0x44902b12e72bcd0f:0xdfb50526fb9d8ed2!8m2!3d40.7653445!4d-111.8600368!16s%2Fg%2F11tgfp9zn7!19sChIJD80r5xIrkEQR0o6d-yYFtd8,Mesquita Motors,4.7,43,Small engine repair service,,"1073 E 200 S, Salt Lake City, UT 84102, United States","Q48Q+4X Salt Lake City, Utah, USA",http://mesquitamotors.com/,+1 801-839-5660,Closed · Opens 9 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPdFWo86RU63K26LJomH0tpN4KNGdmzYAfmDFsP=w408-h305-k-no,true,10 am–3 pm,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:49.640Z
https://www.google.com/maps/place/Tactical+Electrical+Services/data=!4m7!3m6!1s0x87528a566b63c897:0x3a6837c3498b8c87!8m2!3d40.6921428!4d-111.8984642!16s%2Fg%2F11bv1c56m0!19sChIJl8hja1aKUocRh4yLScM3aDo,Tactical Electrical Services,4.9,39,Electrician,,"233 W 3620 S, Salt Lake City, UT 84115, United States","M4R2+VJ Salt Lake City, Utah, USA",https://tacticalelectric.com/,+1 801-718-7310,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMUqgW3OOmFKL3w3VBGasT7zbFhulEGi4QJNBTk=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:54.549Z
https://www.google.com/maps/place/Power+Engineering+Co/data=!4m7!3m6!1s0x8752f5b305cd73cd:0x23179f3c10bf0dfb!8m2!3d40.7826189!4d-111.9018713!16s%2Fg%2F1td72gws!19sChIJzXPNBbP1UocR-w2_EDyfFyM,Power Engineering Co,4.2,16,Heating contractor,,"364 600 N, Salt Lake City, UT 84103, United States","Q3MX+27 Salt Lake City, Utah, USA",http://www.pecowater.com/,+1 801-532-6972,"Closed · Opens 8 am Mon

Updated by others 8 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bGDn6AzJLvo3iSwAxjt74A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.19708&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:59.403Z
https://www.google.com/maps/place/Speeds+Power+Equipment/data=!4m7!3m6!1s0x87528ad0f952d4a1:0x931f1c0a6d10f172!8m2!3d40.7252676!4d-111.8959857!16s%2Fg%2F1tj6v9cn!19sChIJodRS-dCKUocRcvEQbQocH5M,Speeds Power Equipment,4.7,206,Lawn mower store,· In-store shopping · In-store pick-up · Delivery,"183 W 2100 S Expy, Salt Lake City, UT 84115, United States","P4G3+4J Salt Lake City, Utah, USA",https://www.speedspower.com/,+1 801-487-3431,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPWMor_p8kmwEwr_JTQcnfqdm6W_xP1cuW2ff4K=w408-h256-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:04.477Z
"https://www.google.com/maps/place/JP+Electrical,+LC/data=!4m7!3m6!1s0x8752f71423ff12ab:0xd696c56e8b4b46e6!8m2!3d40.8576678!4d-111.9241632!16s%2Fg%2F1td5glzd!19sChIJqxL_IxT3UocR5kZLi27FltY","JP Electrical, LC",4.9,1142,Electrician,,"890 550 W #6, North Salt Lake, UT 84054, United States","V35G+38 North Salt Lake, Utah, USA",https://www.jpelectric.com/?utm_campaign=gmb,+1 801-845-0848,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAeMAfEBBcJhv899jk8p26geqb022VKUxf96KfWnG_u1_-xcHaTErO6FrtRDULLpybsHoUXzTPOM_p11nEaeHmo-NyZA4XKHsy8PVGE_LZ8LteuRYndSOeF9CM1lC0OrNyof2ScDbhFcRR=w408-h544-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:09.302Z
"https://www.google.com/maps/place/SameDay+Heating+%26+Air,+Plumbing,+and+Electrical/data=!4m7!3m6!1s0x87528ae5ac897e01:0xc80b479c42c30bee!8m2!3d40.7055081!4d-111.8945476!16s%2Fg%2F1tdrfvlq!19sChIJAX6JrOWKUocR7gvDQpxHC8g","SameDay Heating & Air, Plumbing, and Electrical",4.8,8684,Plumber,,"3020 S W Temple St, Salt Lake City, UT 84115, United States","P444+65 Salt Lake City, Utah, USA",https://samedayutah.com/?utm_source=google&utm_medium=gmb&utm_campaign=SDY_BRAND_GBP_SALT+LAKE+CITY,+1 801-297-1654,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNlkh2gGkcJrIuawAcAw2SCXIAYxJDe-PWqJLDR=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:14.605Z
https://www.google.com/maps/place/Wheeler+Power+%26+Energy/data=!4m7!3m6!1s0x8752f304a306eca3:0x64b3c654fd5eefd2!8m2!3d40.7244329!4d-112.0081596!16s%2Fg%2F11qpmg0873!19sChIJo-wGowTzUocR0u9e_VTGs2Q,Wheeler Power & Energy,5.0,5,Energy equipment and solutions,,"4899 W 2100 S, West Valley City, UT 84120, United States","PXFR+QP West Valley City, Utah, USA",https://wheelercat.com/power/?utm_source=power-systems&utm_medium=organic&utm_campaign=local,+1 801-978-1581,"Closed · Opens 8 am Mon

Confirmed by this business 1 week ago",,https://lh3.googleusercontent.com/p/AF1QipNr9WQBw-vfkbtksP9ves1IZgFTCOFIk0ov355e=w427-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:19.588Z
https://www.google.com/maps/place/A+%26+E+Henstrom+Generator/data=!4m7!3m6!1s0x8752f51f4ca931c5:0x950afd6c2810954b!8m2!3d40.6920104!4d-111.9100827!16s%2Fg%2F1tkrm8mc!19sChIJxTGpTB_1UocRS5UQKGz9CpU,A & E Henstrom Generator,5.0,5,Car repair and maintenance service,,"3643s S 700 W A, South Salt Lake, UT 84119, United States","M3RQ+RX South Salt Lake, Utah, USA",http://snap-usa.com/,+1 801-467-2902,Closed · Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxW7X6dECWijGUo2atKiO9oA3CAPrBGJV7XeVORXCowKO96Lunkgl-FUWHjPBvJdIldZj3T8ZPBaOyeoK0pdd6yz61rJSC8PJZYUe_md_f58djeBzaKaQN-wKoNq7lQtiVqErk=w408-h306-k-no,true,9 am–2 pm,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:24.445Z
https://www.google.com/maps/place/Mountainland+Power+Equipment/data=!4m7!3m6!1s0x87528ae8b9a07f79:0x7cb84e345f1bc3b7!8m2!3d40.7101266!4d-111.8915447!16s%2Fg%2F1w9y1l15!19sChIJeX-gueiKUocRt8MbXzROuHw,Mountainland Power Equipment,4.5,121,Lawn mower store,· In-store shopping · In-store pick-up · Delivery,"2808 S Main St, Salt Lake City, UT 84115, United States","P465+39 Salt Lake City, Utah, USA",https://www.mountainlandpowerequipment.com/,+1 801-485-5770,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOU2flamzKpPr6-Z49c9IQ0Od_FqgNCDZDizY_b=w408-h244-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:29.411Z
https://www.google.com/maps/place/United+Rentals+-+Power+%26+HVAC/data=!4m7!3m6!1s0x8752f35e963882f9:0xaee0deec752781a8!8m2!3d40.7365305!4d-111.9574209!16s%2Fg%2F11b6llntn3!19sChIJ-YI4ll7zUocRqIEndeze4K4,United Rentals - Power & HVAC,4.8,30,HVAC contractor,,"1551 Pioneer Rd, Salt Lake City, UT 84104, United States","P2PV+J2 Salt Lake City, Utah, USA",https://www.unitedrentals.com/locations/ut/salt-lake-city/power-hvac-rentals/h84?utm_source=google&utm_medium=distrib&utm_campaign=yext,+1 801-804-3400,"Closed · Opens 7:30 am Mon

Confirmed by this business 2 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOI4_JLiJmG_0IRf1Gd4yKUYYp0Qffcn2s_RD9p=w426-h240-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:34.203Z
https://www.google.com/maps/place/Quality+Installation+Specialists/data=!4m7!3m6!1s0x87528fe569db8f17:0x34cd1e7ac94ac654!8m2!3d40.731194!4d-111.939603!16s%2Fg%2F11gm92q8xp!19sChIJF4_baeWPUocRVMZKyXoezTQ,Quality Installation Specialists,4.8,508,Appliances customer service,,"1780-1788 Redwood Rd, Salt Lake City, UT 84104, United States","P3J6+F5 Salt Lake City, Utah, USA",http://www.qualityinstallation.com/,+1 801-214-8888,Closed · Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNYMgehgZMozdHqIsaTsPmiqWZ4aH8P34tC28pi=w408-h272-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:39.282Z
"https://www.google.com/maps/place/Taylor+Electric,+Inc./data=!4m7!3m6!1s0x87528b3959311f5b:0x50547fe819e27591!8m2!3d40.7138156!4d-111.9225964!16s%2Fg%2F1hc3d2ccd!19sChIJWx8xWTmLUocRkXXiGeh_VFA","Taylor Electric, Inc.",4.4,45,Electrician,,"2650 S 1030 W, Salt Lake City, UT 84119, United States","P37G+GX Salt Lake City, Utah, USA",https://www.taylor-electric.com/,+1 801-413-1300,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPlCw2pjnORQpot9WyNEZJPfJ8fl-QaBeiDhvy2=w469-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:44.087Z
https://www.google.com/maps/place/Temporary+Power+Services/data=!4m7!3m6!1s0x87528b4a14461187:0xa27a73092679ce5e!8m2!3d40.7222229!4d-111.9296655!16s%2Fg%2F11g9g2yvk8!19sChIJhxFGFEqLUocRXs55JglzeqI,Temporary Power Services,4.8,18,Contractor,,"2250 1300 W STE E, West Valley City, UT 84119, United States","P3CC+V4 West Valley City, Utah, USA",http://www.temporarypowerservices.com/,+1 801-501-7730,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOKXrazo1wW1DbfuD43qQoKIn0_emn-Tcse7lxK=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:43:48.806Z
