placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes,info,error
"https://www.google.com/maps/place/Kenmarc+Electrical+Contractors/@39.1313767,-84.5340618,17z/data=!3m1!4b1!4m6!3m5!1s0x8841b46d408217a5:0xb96322f07156099a!8m2!3d39.1313767!4d-84.5340618!16s%2Fg%2F1tf6y0hw",Kenmarc Electrical Contractors,3.9,12,Electrician,"1055 Heywood St, Cincinnati, OH 45225, United States","4FJ8+H9 Cincinnati, Ohio, USA",,+1 513-541-2791,,,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:54.123Z,,,,
"https://www.google.com/maps/place/Wuest+Electric+Company,+Inc./data=!4m7!3m6!1s0x8841b5817e0cecf7:0xbe1789aa7fb54824!8m2!3d39.0943194!4d-84.5940418!16s%2Fg%2F1tdzxdkm!19sChIJ9-wMfoG1QYgRJEi1f6qJF74","Wuest Electric Company, Inc.",5.0,6,Electrician,"4290 Delhi Rd #101, Cincinnati, OH 45238, United States","3CV4+P9 Cincinnati, Ohio, USA",https://wuestelectric.com/,+1 513-661-5928,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMe83EDrLIQlDx0KHoIavidFZlNn9rgLQ84ccuj=w501-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:59.137Z,,,,
"https://www.google.com/maps/place/Craftsman+Electric,+Inc/data=!4m7!3m6!1s0x884052d267e1a3b5:0xba95e5888eddae33!8m2!3d39.189816!4d-84.405515!16s%2Fg%2F1tfctxfl!19sChIJtaPhZ9JSQIgRM67djojllbo","Craftsman Electric, Inc",4.9,747,Electrician,"3855 Alta Ave # 1, Cincinnati, OH 45236, United States","5HQV+WQ Cincinnati, Ohio, USA",https://www.craftsmanelectric.com/,+1 513-891-4426,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMz-6XF8OjYmo7IxbuJGT2X0oNZhPmfWtdp54W1=w408-h335-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:04.021Z,,,,
https://www.google.com/maps/place/SNA+Electric/data=!4m7!3m6!1s0x8841adfd7aae6c01:0x81e4a270968a6ae8!8m2!3d39.1053616!4d-84.4297501!16s%2Fg%2F11nnwg61zl!19sChIJAWyuev2tQYgR6GqKlnCi5IE,SNA Electric,5.0,1,Engineer,"4242 Airport Rd, Cincinnati, OH 45226, United States","4H4C+43 Cincinnati, Ohio, USA",https://www.snaelectric.com/contact,+1 513-515-1684,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V3EVRg_gGqmPR0rjJKnivg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=56.819824&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:06.773Z,,,,
https://www.google.com/maps/place/George+J.+Hust+Co./data=!4m7!3m6!1s0x8841b48c7c0794df:0xbae2989233a14b71!8m2!3d39.156959!4d-84.5402745!16s%2Fg%2F1w0p69mp!19sChIJ35QHfIy0QYgRcUuhM5KY4ro,George J. Hust Co.,4.8,48,Car repair and maintenance service,"3900 Spring Grove Ave, Cincinnati, OH 45223, United States","5F45+QV Cincinnati, Ohio, USA",http://www.romaineelectric.com/,+1 513-681-3120,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4OShjKVPMkx5EptVUkZowjzSOPukbvwTTJCXxOzt49kU-ymqyOay6HbTzmzTt0-owDFFX3_6NbfTri30OitcV2bAIo8L4nlcJzyaZ7ZIgah557vo1Sma13QjhbZjRzclnzET_4g=w533-h240-k-no,false,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:11.657Z,,,,
https://www.google.com/maps/place/BG+Electrical+Services/data=!4m7!3m6!1s0x8841cbc4fa321d6d:0x7faa36d4520ac39b!8m2!3d39.1386953!4d-84.6362334!16s%2Fg%2F11j8pc4xqm!19sChIJbR0y-sTLQYgRm8MKUtQ2qn8,BG Electrical Services,4.4,30,Electrician,"2875 Springwood Ct, Cincinnati, OH 45248, United States","49Q7+FG Cincinnati, Ohio, USA",https://bgelectricalsvcs.com/,+1 513-313-1122,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzukCiQaVaktzLYjdizmZQDOQMgQdbmqIoyF0px7FCs401NYx0pDOsVGDLuYP55jt-fTU0RmXipBGQHIpZ4OvhsQ0gZC-6JTfVHNo92l_2SnHBBm4kbkbOv1LxT_B-jSbc5_1NFg=w408-h544-k-no,false,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:16.558Z,,,,
https://www.google.com/maps/place/Schulhoff+Equipment+Rental+%26+Sales/data=!4m7!3m6!1s0x8841b24a838c22a1:0xfeb6a12b53844230!8m2!3d39.1281205!4d-84.4780617!16s%2Fg%2F1tfs1rm_!19sChIJoSKMg0qyQYgRMEKEUyuhtv4,Schulhoff Equipment Rental & Sales,4.8,220,Equipment rental agency,"2709 Woodburn Ave, Cincinnati, OH 45206, United States","4GHC+6Q Cincinnati, Ohio, USA",https://www.schulhoff-tool.com/,+1 513-961-1122,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPzwMT5dwF1iOJ9XprxmLYPWcrBpyP63VK1jNmv=w426-h240-k-no,true,8 am–4 pm,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:21.518Z,,,,
https://www.google.com/maps/place/Five+Star+Home+Services+Cincinnati/data=!4m7!3m6!1s0x88404df88cc5753b:0x946c0228f11234fc!8m2!3d39.1969914!4d-84.4586706!16s%2Fg%2F11sy1s_tsw!19sChIJO3XFjPhNQIgR_DQS8SgCbJQ,Five Star Home Services Cincinnati,4.8,495,HVAC contractor,"7374 Reading Rd Suite 118, Cincinnati, OH 45237, United States","5GWR+QG Cincinnati, Ohio, USA",https://www.myfivestarhomeservices.com/cincinnati/,+1 513-443-1306,"Open 24 hours

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOIWSJX5kgO1gpL1GEPIBb2eb_SQGYDh3H9-A2u=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:26.536Z,,,,
https://www.google.com/maps/place/Grainger+Industrial+Supply/data=!4m7!3m6!1s0x8841b6af3c48cee7:0x511f8fc79d3ac52f!8m2!3d39.1026631!4d-84.5322533!16s%2Fg%2F1tdjxpyj!19sChIJ585IPK-2QYgRL8U6ncePH1E,Grainger Industrial Supply,4.4,45,Tool store,"939 W 8th St, Cincinnati, OH 45203, United States","4F39+33 Cincinnati, Ohio, USA",https://www.grainger.com/branch/Cincinnati-Branch-154,+1 800-472-4643,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqejQ-kMclXJjZ4tmxB8nFZLljEzVs0D-x647bIkUhGKEyj5pUowjdMR9_2Fs0aXl4CXigSivjuaIA9BENkeX0vABrfk7pz3R2w0tRIyVdlEgfsqQuSG81zBfF2bAjwy1Hq_VAPQ=w408-h544-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:31.363Z,,"Chain offering a broad range of industrial equipment, maintenance supplies, tools & parts. · In-store shopping · Kerbside pickup · Delivery",,
https://www.google.com/maps/place/The+Johnson+Electric+Supply+Co/data=!4m7!3m6!1s0x8841b232ce4a994d:0x8a5f9e7a7a416851!8m2!3d39.118991!4d-84.480173!16s%2Fg%2F1tg87b84!19sChIJTZlKzjKyQYgRUWhBenqeX4o,The Johnson Electric Supply Co,4.6,25,Electrical supply store,"1841 Riverside Dr, Cincinnati, OH 45202, United States","4G99+HW Cincinnati, Ohio, USA",http://www.johnson-electric.com/,+1 513-421-3700,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkKWerkuUGefGwCeGezVWv9SQkU_dztNhmv3K1yPSdsWWxqCWpAoBvFWia4YElZl1bUMg5L-hJ0jSDrERFncXsP0JWQOWc3cW3DDBryMT3s00yHOmo9BQugUelOGWK2eOTLUyq=w426-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:36.341Z,,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/Sess+Boys+Services/data=!4m7!3m6!1s0x8841cb3267495cd1:0x25a0e5bbe4dab404!8m2!3d39.1308062!4d-84.6072298!16s%2Fg%2F11rc70ctfx!19sChIJ0VxJZzLLQYgRBLTa5LvloCU,Sess Boys Services,4.9,65,Lawn mower repair service,"5486 Glenway Ave, Cincinnati, OH 45238, United States","49JV+84 Cincinnati, Ohio, USA",,+1 513-706-5037,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdude4rwUVbpmjUrrCuDAYHV5PHMKRRMbOg8CAY9UajgRR7USiBrebWIoWGdjEhzLX0XflOnzOumG5eh5CStQ4JfDilKATf_r0Inx8lGHFUWZ62w2H_pPisK1C52APOY5rqX3B=w408-h544-k-no,true,9 am–12 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:46.322Z,,,,
https://www.google.com/maps/place/EMT%2FWheatley+Electric+Service/data=!4m7!3m6!1s0x8841b29563e17115:0x86c50f253c0fe08c!8m2!3d39.168074!4d-84.457618!16s%2Fg%2F1v2ky336!19sChIJFXHhY5WyQYgRjOAPPCUPxYY,EMT/Wheatley Electric Service,4.6,85,Electric motor repair shop,"2046 Ross Ave, Cincinnati, OH 45212, United States","5G9R+6X Cincinnati, Ohio, USA",https://electricmotortech.com/,+1 513-531-4951,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCJTsz2c1YK25oaUOce0LLWih6Vk57AkHKaf_qpsCDTXjnvNUZicceNP3hDyg2iw2ivz1BnFhHuaA1ACyEEr5tpNrHm9vaHZXsGFVTSK9ZuYZ1QJfTipOg5cL1TVQ6D90iD5k2=w408-h306-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:51.254Z,,,,
https://www.google.com/maps/place/Power+Efficiency+Systems/data=!4m7!3m6!1s0x8841b3cdd43fffff:0xfb9cee50f680d73b!8m2!3d39.1201265!4d-84.4852667!16s%2Fg%2F11fk0b86hs!19sChIJ__8_1M2zQYgRO9eA9lDunPs,Power Efficiency Systems,,,Electrical engineer,"2200 Victory Pkwy, Cincinnati, OH 45206, United States","4GC7+3V Cincinnati, Ohio, USA",http://pesweb.us/contact.html,+1 513-751-6200,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zV5wtUIP0R_N1w5bX5aAQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.81214&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:54.005Z,,,,
https://www.google.com/maps/place/Gerke+Elec+Inc/data=!4m7!3m6!1s0x8841b322a7a2c9f7:0x95488285162dae30!8m2!3d39.1677168!4d-84.4986969!16s%2Fg%2F1tgf8gj6!19sChIJ98mipyKzQYgRMK4tFoWCSJU,Gerke Elec Inc,5.0,17,Electrician,"13 Phillips Ave, Cincinnati, OH 45217, United States","5G92+3G Cincinnati, Ohio, USA",http://www.gerkeelectric.com/,+1 513-641-5385,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPNiYHVix80QN2b64d87_holhAyadqDbEhHBqp5=w408-h272-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:25:58.907Z,,,,
"https://www.google.com/maps/place/CIA+Industrial,+LLC/data=!4m7!3m6!1s0x8841b3f86d9d6ce9:0x6497c1f8c82cfbf!8m2!3d39.11804!4d-84.5214255!16s%2Fg%2F1tjz8mq_!19sChIJ6WydbfizQYgRv8-CjB98SQY","CIA Industrial, LLC",4.9,65,Auction house,"2020 Dunlap St, Cincinnati, OH 45214, United States","4F9H+6C Cincinnati, Ohio, USA",http://www.cia-industrial.com/,+1 513-241-9701,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipP1FKNClZc348f8angkVTvBCyHCDoIUqoBx8Akj=w408-h306-k-no,true,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–3 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:26:03.830Z,,,,
https://www.google.com/maps/place/F.D.+Lawrence+Electric+Co./data=!4m7!3m6!1s0x8841b4f62b019ec7:0xc72feb958c94812a!8m2!3d39.151465!4d-84.5502289!16s%2Fg%2F1tt8cyz8!19sChIJx54BK_a0QYgRKoGUjJXrL8c,F.D. Lawrence Electric Co.,4.7,35,Electrical supply store,"3450 Beekman St, Cincinnati, OH 45223, United States","5C2X+HW Cincinnati, Ohio, USA",https://www.fdlawrence.com/,+1 513-542-1100,Closed · Opens 6 am Mon,https://lh3.googleusercontent.com/p/AF1QipNIAfY5ne05cPn5YeM7NAyhD0czZ0F23_xAwUPv=w408-h272-k-no,true,Closed,Closed,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:26:08.878Z,,· In-store pick-up · Delivery,,
https://www.google.com/maps/place/Bud+Herbert+Motors+Inc/data=!4m7!3m6!1s0x8841b48e653c82b5:0xf25362f328f1514c!8m2!3d39.1596068!4d-84.5371846!16s%2Fg%2F1tgcskrz!19sChIJtYI8ZY60QYgRTFHxKPNiU_I,Bud Herbert Motors Inc,4.5,164,Lawn mower store,"4050 Spring Grove Ave, Cincinnati, OH 45223, United States","5F57+R4 Cincinnati, Ohio, USA",http://www.budherbertmotors.com/,+1 513-541-3290,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzNQJ1IHAVIsSRGf6jdN8Y23A98jwL2euLSeHZMtfnL98QzSZCokRr9ocw-0l4S4g6ElYnodpdDFvVWsktKXnkIuZA7zqf-Qz7QAsT2lzOqmbFsu8g9GLBFGXVRKdlctoNtGO3Xsw=w408-h306-k-no,true,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:26:13.796Z,,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/Graybar/data=!4m7!3m6!1s0x8841b6a5fb584fb1:0xe0a23782c2744bf9!8m2!3d39.1043944!4d-84.5336973!16s%2Fg%2F1wtbvkp7!19sChIJsU9Y-6W2QYgR-Ut0woI3ouA,Graybar,4.5,32,Electrical supply store,"1022 W 8th St, Cincinnati, OH 45203, United States","4F38+QG Cincinnati, Ohio, USA",https://www.graybar.com/store-finder?utm_source=rioseo&utm_medium=organic&utm_content=google-locations&utm_campaign=rioseo-CIOH&cm_mmc=rioseo:organic-_-google-_-locations-_-CIOH,+1 513-621-0600,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYNLT8XzHMYIwt7pLPhixrbRFRXZ7444g4JEwiwvx3cBdiYYu7C4JOCH88O2NQxsxvNDOowv-IwJanpVAfdth1XP9bPiq8A4cK3hxg1YsHIgovwN8PGhzRN7UdibJw6Y93lXNy=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:26:18.841Z,,· In-store pick-up,,
