placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,isBlackOwned,error
"https://www.google.com/maps/place/University+Psychiatry+Clinic:+Wolfe+Mary+M+MD/@36.7379298,-119.7534227,17z/data=!3m1!4b1!4m6!3m5!1s0x80945e5b25404813:0x63b452e97544f545!8m2!3d36.7379298!4d-119.7534227!16s%2Fg%2F1w04kbvj",University Psychiatry Clinic: Wolfe Mary M MD,,,Psychiatrist,"445 S Cedar Ave, Fresno, CA 93702, United States","P6QW+5J Fresno, California, USA",http://universitymds.com/,+1 559-320-0580,,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:18.689Z,,,,,,,,,,
https://www.google.com/maps/place/Shine+Mental+Health/data=!4m7!3m6!1s0x809469c20426c7f9:0x9b78499bc480d445!8m2!3d36.837837!4d-119.818218!16s%2Fg%2F11kjc43snc!19sChIJ-ccmBMJplIARRdSAxJtJeJs,Shine Mental Health,4.9,75,Mental health service,"7045 N Fruit Ave, Fresno, CA 93711, United States","R5QJ+4P Fresno, California, USA",https://shinemh.com/?utm_campaign=gmb,+1 559-306-0611,,https://lh3.googleusercontent.com/p/AF1QipNo_2jNCgZ6ExMiV4O0VhLea52jwhY55uAYpT90=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:23.697Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
"https://www.google.com/maps/place/University+Psychiatry+Clinic:+Zeineh+Linda+Lee+MD/@36.7379298,-119.7534227,17z/data=!3m1!4b1!4m6!3m5!1s0x80945e5b25404813:0xff1d44c7ae1ec8d3!8m2!3d36.7379298!4d-119.7534227!16s%2Fg%2F1tdg3gcy",University Psychiatry Clinic: Zeineh Linda Lee MD,,,Psychiatrist,"445 S Cedar Ave, Fresno, CA 93702, United States","P6QW+5J Fresno, California, USA",http://universitymds.com/,+1 559-320-0580,,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:28.492Z,,,,,,,,,,
https://www.google.com/maps/place/Ahles+Scott+MD/data=!4m7!3m6!1s0x80945e1bea757843:0xe88902e99b4ab701!8m2!3d36.7436004!4d-119.7822595!16s%2Fg%2F1tftrb9c!19sChIJQ3h16htelIARAbdKm-kCieg,Ahles Scott MD,5.0,1,Psychologist,"155 N Fresno St, Fresno, CA 93701, United States","P6V9+C3 Fresno, California, USA",,+1 559-499-6577,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X0uI-1qygrEcUUbQfO72CQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.41098&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:31.300Z,,,,,,,,,,
"https://www.google.com/maps/place/Central+Star+Behavioral+Health,+Inc./data=!4m7!3m6!1s0x80945e5a6c584c05:0x818fd18ff15c3508!8m2!3d36.7384438!4d-119.7503342!16s%2Fg%2F11hy9nnkh2!19sChIJBUxYbFpelIARCDVc8Y_Rj4E","Central Star Behavioral Health, Inc.",3.0,6,Mental health service,"496 S Barton Ave, Fresno, CA 93750, United States","P6QX+9V Fresno, California, USA",https://www.starsinc.com/fresno-county/the-fresno-crt/,+1 559-860-4422,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7dD7QRmxnMyUnrqRoCTqa5GBsRkKs4FpiAnciXtgisCl4uBjhqJNsNHB0vPmjm1bkq1RXpsieXEszVme-v94YBLE6koynmQ30Fv36HZKuwSJJxu-zrEM-M2fqaXxO6Ljcko1W=w408-h306-k-no,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:34.072Z,,,,,,,,,,
https://www.google.com/maps/place/Go+behavioral+LLC+%7C+aba+therapy+fresno+%7C+Best+ABA+therapy+in+California+%28ages+1-18%29/data=!4m7!3m6!1s0x80946153e93ee54f:0x3ae676ca8a52a758!8m2!3d36.7388809!4d-119.7952161!16s%2Fg%2F11sz4bccbz!19sChIJT-U-6VNhlIARWKdSisp25jo,Go behavioral LLC | aba therapy fresno | Best ABA therapy in California (ages 1-18),4.8,5,Mental health service,"1444 Fulton St, Fresno, CA 93721, United States","P6Q3+HW Fresno, California, USA",http://www.gobehavioral.com/,+1 888-988-0520,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ewpBqRYvHuBsSMP3_p6h7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.773832&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:39.052Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,,,
"https://www.google.com/maps/place/Go+Behavioral+LLC+%7C+Best+ABA+Therapy+in+Fresno,+California/data=!4m7!3m6!1s0x80945f105c867e55:0x80bcc00ae8bcbb02!8m2!3d36.7423606!4d-119.7824385!16s%2Fg%2F11l1ngpyd0!19sChIJVX6GXBBflIARAru86ArAvIA","Go Behavioral LLC | Best ABA Therapy in Fresno, California",5.0,9,Mental health clinic,"2900 Fresno St Suit 106 & 107, Fresno, CA 93721, United States","P6R9+W2 Fresno, California, USA",http://www.gobehavioral.com/,+1 888-988-0520,Open · Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lSorv05Ueb3J0tJvk4GrdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.877674&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:44.092Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8:30 am–8 pm,Closed,,,
https://www.google.com/maps/place/Turning+Point+-+VISTA/data=!4m7!3m6!1s0x809460a80d6e394b:0x4a6ef7252c342912!8m2!3d36.7463016!4d-119.7902555!16s%2Fg%2F11c3kqwzgs!19sChIJSzluDahglIAREik0LCX3bko,Turning Point - VISTA,3.4,8,Mental health service,"258 N Blackstone Ave, Fresno, CA 93701, United States","P6W5+GV Fresno, California, USA",https://www.tpocc.org/vista,+1 559-274-0299,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OoL5hrEzkIioVaxw9VCbVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.56976&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:49.185Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Central+Star+Behavioral/@36.777731,-119.7807733,17z/data=!3m1!4b1!4m6!3m5!1s0x80945d581f8661f9:0xb88f989fc0ac8321!8m2!3d36.777731!4d-119.7807733!16s%2Fg%2F11gwfzsp0j",Central Star Behavioral,5.0,3,Psychotherapist,"2934 N Fresno St, Fresno, CA 93703, United States","Q6H9+3M Fresno, California, USA",https://www.starsinc.com/fresno-county/central-star-behavioral-health/,+1 559-549-6697,Closed · Opens 8 am Tue,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:56.228Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Aria+Torii/data=!4m7!3m6!1s0x80945e5085934a07:0x2738483ee3013659!8m2!3d36.7363087!4d-119.7508366!16s%2Fg%2F11sh2bf98q!19sChIJB0qThVBelIARWTYB4z5IOCc,Aria Torii,5.0,1,Mental health clinic,"COUNTY DEPARTMENT OF MENTAL HEALTH SERVICES, 4441 E Cesar Chavez Blvd, Fresno, CA 93703, United States",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MFbXRCx4TLcuvMVq9CCN7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.2019&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:58.875Z,,,,,,,,,,
https://www.google.com/maps/place/Clear+Behavioral+Health/data=!4m7!3m6!1s0x809461b2a281b53d:0x508ca866a9b1ac41!8m2!3d36.7378415!4d-119.7950026!16s%2Fg%2F11ymzjf8v2!19sChIJPbWBorJhlIARQayxqWaojFA,Clear Behavioral Health,,,Mental health service,"1401 Fulton St Suite 914, Fresno, CA 93721, United States","P6Q3+4X Fresno, California, USA",https://clearbehavioralhealth.com/locations/?utm_source=Google&utm_medium=GBP&utm_campaign=Fresno,+1 559-491-2027,"Open 24 hours

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO7pWZbJNIxKCKBfo6z94qbeKRvwyXEdXvtlGc9=w408-h306-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:03.537Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
"https://www.google.com/maps/place/Dr.+Neil+A.+Smith,+DO/data=!4m7!3m6!1s0x80945e5062626977:0x4dc178f2d6fa63ff!8m2!3d36.7363407!4d-119.7510253!16s%2Fg%2F1tg81q6j!19sChIJd2liYlBelIAR_2P61vJ4wU0","Dr. Neil A. Smith, DO",,,Psychiatrist,"4441 Cesar Chavez Blvd, Fresno, CA 93702, United States","P6PX+GH Fresno, California, USA",http://www.fresno.va.gov/,+1 559-225-6100,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MFbXRCx4TLcuvMVq9CCN7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.134674&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:06.388Z,,,,,,,,,,
https://www.google.com/maps/place/Colleen+Connor/data=!4m7!3m6!1s0x80945e5085934a07:0x36d6924936720ef1!8m2!3d36.7363087!4d-119.7508366!16s%2Fg%2F11sh2b6820!19sChIJB0qThVBelIAR8Q5yNkmS1jY,Colleen Connor,3.0,2,Psychiatrist,"4441 E Cesar Chavez Blvd, Fresno, CA 937023604, United States",,,+1 559-600-9180,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MFbXRCx4TLcuvMVq9CCN7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.2019&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:09.255Z,,,,,,,,,,
https://www.google.com/maps/place/Power+Mental+Health+Services/data=!4m7!3m6!1s0x80945f1ef7089289:0x6ebec440d760bfcd!8m2!3d36.7413878!4d-119.7888735!16s%2Fg%2F11w2mvznfn!19sChIJiZII9x5flIARzb9g10DEvm4,Power Mental Health Services,,,Mental health service,"1350 O St Ste 302, Fresno, CA 93721, United States","P6R6+HF Fresno, California, USA",https://www.powermentalhealthservices.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11728855075209326232,+1 559-319-6975,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WQhP7gXCi9AAMMq9FN0tgg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.52466&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:12.095Z,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Lynn+M.+Nile,+MD/@36.7733235,-119.7797421,17z/data=!3m1!4b1!4m6!3m5!1s0x80945df1e0a858c7:0xc01f57c0e8a3a7d2!8m2!3d36.7733235!4d-119.7797421!16s%2Fg%2F1vp6_f4m","Dr. Lynn M. Nile, MD",,,Psychiatrist,"2615 E Clinton Ave, Fresno, CA 93703, United States","Q6FC+84 Fresno, California, USA",http://www.fresno.va.gov/,+1 559-225-6100,,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:16.844Z,,,,,,,,,,
"https://www.google.com/maps/place/George+P.+Rowell,+M.D./data=!4m7!3m6!1s0x809460a0e10bddbb:0x8a642930ed114156!8m2!3d36.7389386!4d-119.7916932!16s%2Fg%2F1tfx53x8!19sChIJu90L4aBglIARVkER7TApZIo","George P. Rowell, M.D.",3.0,4,Psychiatrist,"1330 L St, Fresno, CA 93721, United States","P6Q5+H8 Fresno, California, USA",,+1 559-443-1400,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EDikdt4LHElaEF2mB2nlSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=53.66932&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:21.955Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Department+of+Behavioral+Health/data=!4m7!3m6!1s0x80945d007846dec5:0xcdf117cdd6967855!8m2!3d36.7753515!4d-119.7285928!16s%2Fg%2F11y2ys61cp!19sChIJxd5GeABdlIARVXiW1s0X8c0,Department of Behavioral Health,5.0,1,Mental health service,"2723 N Air-Fresno Dr, Fresno, CA 93727, United States","Q7GC+4H Fresno, California, USA",https://www.fresnocountyca.gov/Departments/Behavioral-Health,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oGEqy-cZDjVxepTibOy5Vg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.12883&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:24.772Z,,,,,,,,,,
https://www.google.com/maps/place/Integral+Psychiatry+%26+Counseling/data=!4m7!3m6!1s0x8094670ec91a7aa7:0x70dfef561518d671!8m2!3d36.8438051!4d-119.7571608!16s%2Fg%2F11rcy3rjjn!19sChIJp3oayQ5nlIARcdYYFVbv33A,Integral Psychiatry & Counseling,5.0,14,Psychotherapist,"7413 N Cedar Ave Suite 103 Suite 103, Fresno, CA 93720, United States","R6VV+G4 Fresno, California, USA",https://integralpsychiatrycounseling.com/,+1 559-943-3078,Closes soon · 7 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNsNx4d815HqUv5DTn7zu7992wOSA7DN_6TCcyG=w408-h685-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:29.562Z,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–2 pm,Closed,Closed,,,
https://www.google.com/maps/place/Contact+Crestwood+Behavioral+Health/data=!4m7!3m6!1s0x80945e1bc91aaaab:0x64e20130984807d2!8m2!3d36.7444667!4d-119.7807513!16s%2Fg%2F11twq35_jk!19sChIJq6oayRtelIAR0gdImDAB4mQ,Contact Crestwood Behavioral Health,,,Mental health clinic,"153 N U St, Fresno, CA 93701, United States","P6V9+QM Fresno, California, USA",https://crestwoodbehavioralhealth.com/location/fresno/,+1 559-445-9094,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z4mZQxobX7TKJB2W7-w_7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.15918&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:32.601Z,,,,,,,,,,
https://www.google.com/maps/place/Mental+Health+Systems/data=!4m7!3m6!1s0x809466fccd885cc3:0xc722bd1cbac515f!8m2!3d36.7723418!4d-119.8420927!16s%2Fg%2F1tm12vn1!19sChIJw1yIzfxmlIARX1Gsy9Ercgw,Mental Health Systems,3.2,12,Mental health service,"2550 W Clinton Ave Bldg 311, Fresno, CA 93705, United States","Q5C5+W5 Fresno, California, USA",https://www.turnbhs.org/location/fresno-impact/,+1 559-264-7521,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4V9OqsUlJfDDcxRcWYfLEW1s3f7w_a6h7c0WO735pGvCerGR3ufyOxNUHUjzDlNvsxFkL0a7OOJKaRUdx7fkaORl4x5tNTZa0jZzkCWeUsNrFeDRBDEe4mWqqjw-cc6571INnrA=w408-h725-k-no,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:37.550Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Dr.+Avak+A.+Howsepian,+MD/@36.7733235,-119.7797421,17z/data=!3m1!4b1!4m6!3m5!1s0x80945df1e0a858c7:0x86f89b5cca0c3dbf!8m2!3d36.7733235!4d-119.7797421!16s%2Fg%2F1tmpf565","Dr. Avak A. Howsepian, MD",3.0,2,Psychiatrist,"2615 E Clinton Ave, Fresno, CA 93703, United States","Q6FC+84 Fresno, California, USA",http://www.fresno.va.gov/,+1 559-225-6100,,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:20:42.214Z,,,,,,,,,,
