placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,sunday,monday,tuesday,wednesday,thursday,friday,saturday,isBlackOwned,attributes,error
https://www.google.com/maps/place/IVX+Health+Infusion+Center/data=!4m7!3m6!1s0x89e81d49cd940775:0xc8b356bc3335fdb7!8m2!3d41.1278553!4d-73.3816324!16s%2Fg%2F11txjj14j3!19sChIJdQeUzUkd6IkRt_01M7xWs8g,IVX Health Infusion Center,5.0,6,Medical clinic,"596 Westport Ave, Norwalk, CT 06851, United States","4JH9+48 Norwalk, Connecticut, USA",https://ivxhealth.com/locations/connecticut/norwalk?utm_source=extnet&utm_medium=yext,+1 475-208-2111,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOpHrDyfi1PZTFAQbYq8nljK8pccDnOB8i20ffq=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:30.282Z,,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,10 am–3 pm,,,
https://www.google.com/maps/place/Skin+Cancer+Center+of+Fairfield/data=!4m7!3m6!1s0x89e81c292ce9962f:0x3cde1f174c4521bb!8m2!3d41.1100282!4d-73.4093958!16s%2Fg%2F1262rylrh!19sChIJL5bpLCkc6IkRuyFFTBcf3jw,Skin Cancer Center of Fairfield,4.9,298,Cancer treatment center,"148 East Ave #3B, Norwalk, CT 06851, United States","4H6R+26 Norwalk, Connecticut, USA",http://www.skincancercenterct.com/,+1 203-957-3535,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMKjMl1oK0WEfkZoGv90-SHz5fTwgIA4hZrjr8R=w605-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:35.206Z,,Closed,8:30 am–6:30 pm,8 am–12 am,12 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Whittingham+Cancer+Center+of+Norwalk+Hospital/data=!4m7!3m6!1s0x89e81dd49c9a12db:0xbe5c455fbd3650f8!8m2!3d41.1123167!4d-73.4222069!16s%2Fg%2F1tff8n5g!19sChIJ2xKanNQd6IkR-FA2vV9FXL4,Whittingham Cancer Center of Norwalk Hospital,4.5,17,Cancer treatment center,"34 Maple St, Norwalk, CT 06856, United States","4H6H+W4 Norwalk, Connecticut, USA",https://www.norwalkhospital.org/departments/cancer-care-at-norwalk-hospital,+1 203-845-4811,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRPxPGlDDaIOQUt4HZBL-1_0m4j38h7CqKh6b1w6LlDgOxoIgsxzPpX_CR-7_F05EGZasB_wefWfqtc1_LJaOsZdNKgFlUVfQ6p0DqLC_MItFabvkArIOVKidWSuPi9lQjSQHH=w408-h254-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:40.150Z,,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,
https://www.google.com/maps/place/High+Focus+Centers+Norwalk+Outpatient+Treatment+Center/data=!4m7!3m6!1s0x89e81de9ce382ee1:0x6ac6c6a196bf56d2!8m2!3d41.1196381!4d-73.411989!16s%2Fg%2F11j2zdhtsy!19sChIJ4S44zukd6IkR0la_lqHGxmo,High Focus Centers Norwalk Outpatient Treatment Center,4.8,44,Mental health service,"17 High St, Norwalk, CT 06851, United States","4H9Q+V6 Norwalk, Connecticut, USA",https://www.highfocuscenters.com/locations/ct/norwalk/,+1 866-935-4424,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP8zX7Ipmkgz5uvEkql3vmIle-oLs9Pg9riSRro=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:45.068Z,LGBTQ+ friendly,Closed,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,Closed,,,
"https://www.google.com/maps/place/Whittingham+Cancer+Center+at+Norwalk+Hospital,+part+of+Nuvance+Health/data=!4m7!3m6!1s0x89e81dd5ade2b1fd:0x1d0feed49807783c!8m2!3d41.1116282!4d-73.4218378!16s%2Fg%2F11twt13v6q!19sChIJ_bHirdUd6IkRPHgHmNTuDx0","Whittingham Cancer Center at Norwalk Hospital, part of Nuvance Health",,,Cancer treatment center,"34 Maple St, Norwalk, CT 06856, United States","4H6H+M7 Norwalk, Connecticut, USA",https://www.nuvancehealth.org/locations/whittingham-cancer-center-nuvance-health-medical-practice-hematology-oncology?utm_source=listings&utm_medium=organic&utm_campaign=Yext&y_source=1_MjQzMTkyNDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 203-845-4811,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMw-bNU8ZjkRyjl4sJBvRNv0ArtGUksRzBwas2B=w408-h408-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:49.952Z,,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,
https://www.google.com/maps/place/Praxair+Cancer+Center/data=!4m7!3m6!1s0x89e7ff4194955293:0xe81ad2edd20fe798!8m2!3d41.4047697!4d-73.4450669!16s%2Fg%2F11cnbt5bpv!19sChIJk1KVlEH_54kRmOcP0u3SGug,Praxair Cancer Center,3.7,6,Cancer treatment center,"95 Locust Ave, Danbury, CT 06810, United States","CH33+WX Danbury, Connecticut, USA",https://www.danburyhospital.org/,+1 203-739-7029,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fO2GbEiS-Z-Dq5tdwusfmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.99457&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:01.263Z,,,,,,,,,,,
https://www.google.com/maps/place/IVX+Health+Infusion+Center/data=!4m7!3m6!1s0x89dd55e39d69c3f1:0x825fced854979fa9!8m2!3d41.3764906!4d-73.4887857!16s%2Fg%2F11lz5tz_wr!19sChIJ8cNpneNV3YkRqZ-XVNjOX4I,IVX Health Infusion Center,5.0,1,Medical clinic,"15 Backus Ave, Danbury, CT 06810, United States","9GG6+HF Danbury, Connecticut, USA",http://www.ivxhealth.com/locations/connecticut/fairfield-county/danbury,+1 475-268-8222,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOa9QPJ946yJ-hZucR6tevD5-fXpRRkWVtk3K1v=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:06.044Z,,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,10 am–3 pm,,,
https://www.google.com/maps/place/Novella+Infusion+Danbury/data=!4m7!3m6!1s0x89e7ffc24a9b52ed:0xbb92cf10bb9704e3!8m2!3d41.406309!4d-73.4465502!16s%2Fg%2F11lw35skq5!19sChIJ7VKbSsL_54kR4wSXuxDPkrs,Novella Infusion Danbury,,,Medical clinic,"27 Hospital Ave #101, Danbury, CT 06810, United States","CH43+G9 Danbury, Connecticut, USA",https://novellainfusion.com/find-a-location/,+1 203-706-4982,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPTnf0NaEh52GGqqLGo0j_gildJ5ZXPRL78-tD3=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:11.064Z,,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,,,
https://www.google.com/maps/place/Danbury+Hospital/data=!4m7!3m6!1s0x89e7ff3a0019a5cd:0x498df16bc05a2037!8m2!3d41.4045861!4d-73.4422677!16s%2Fg%2F11hb5cd1r7!19sChIJzaUZADr_54kRNyBawGvxjUk,Danbury Hospital,4.8,6,Medical clinic,"111 Osborne St #3, Danbury, CT 06810, United States","CH35+R3 Danbury, Connecticut, USA",http://www.danburyhospital.org/Our-Services,+1 203-739-4999,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X8lxp4UL2pGJr2-kZuTl1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.48346&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:13.923Z,,,,,,,,,,,
https://www.google.com/maps/place/Prime+MediSpa/data=!4m7!3m6!1s0x89e7ff3ed3244041:0xadcbaec64597351!8m2!3d41.4064607!4d-73.4465627!16s%2Fg%2F11qmc7lc5r!19sChIJQUAk0z7_54kRUXNZZOy63Ao,Prime MediSpa,4.8,146,Medical spa,"27 Hospital Ave #403, Danbury, CT 06810, United States","CH43+H9 Danbury, Connecticut, USA",https://primemedispa.square.site/,+1 203-730-2900,"Closed ⋅ Opens 10 am Mon

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipP87949n0kG_CElggdSSEEs38JwTiTwlW3fPokW=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:18.833Z,,Closed,10 am–5 pm,10 am–7 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,,,
https://www.google.com/maps/place/Advanced+Specialty+Care/data=!4m7!3m6!1s0x89e7fed137b37eb3:0x21f6817ccd9c15f7!8m2!3d41.4135449!4d-73.4067984!16s%2Fg%2F1hc9cf446!19sChIJs36zN9H-54kR9xWczXyB9iE,Advanced Specialty Care,3.9,152,Medical group,"107 Newtown Rd, Danbury, CT 06810, United States","CH7V+C7 Danbury, Connecticut, USA",http://www.ascdocs.com/,+1 203-830-4700,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKB311SwamyARICgGQH8ISpGiDdgiyg5KkE0r3I9t_kcvp-KB4i0SvRqFlOJltXwu46qdOHRVHluiOoqgFS_eaTNlrw6Qg-lQ9DlYPdwfHhF5SaqeTN3SA3arvGcPIciJto6Z0=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:23.909Z,LGBTQ+ friendly,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
"https://www.google.com/maps/place/Danbury+Hospital,+part+of+Nuvance+Health/data=!4m7!3m6!1s0x89e7ff3a0019a5cd:0xd2529210366e832b!8m2!3d41.4053632!4d-73.4453069!16zL20vMGd6a200!19sChIJzaUZADr_54kRK4NuNhCSUtI","Danbury Hospital, part of Nuvance Health",2.3,500,Hospital,"24 Hospital Ave, Danbury, CT 06810, United States","CH43+4V Danbury, Connecticut, USA",https://www.nuvancehealth.org/locations/danbury-hospital?utm_source=listings&utm_medium=organic&utm_campaign=Yext&y_source=1_MjQzMTkyMjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 203-739-7000,,https://lh3.googleusercontent.com/p/AF1QipPe7k5WbDTlajjxHZuc6y_u76Yx74Yv4F4D_Fgr=w408-h408-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:28.945Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Dops+Oncology%2FHematology/data=!4m7!3m6!1s0x89e7ff69ff7b3217:0x3a2a325f71302a11!8m2!3d41.4051922!4d-73.4460294!16s%2Fg%2F1w347n5j!19sChIJFzJ7_2n_54kRESowcV8yKjo,Dops Oncology/Hematology,,,Cancer treatment center,"24 Hospital Ave, Danbury, CT 06810, United States","CH43+3H Danbury, Connecticut, USA",,+1 203-739-7000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=We5OX3_POBVlv_NRZJ5nDQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.73119&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Danbury+CT/@41.4096178,-73.4397376,14z",2025-09-28T23:04:31.728Z,,,,,,,,,,,
https://www.google.com/maps/place/The+Hospital+of+Central+Connecticut-+New+Britain+General+Campus/data=!4m7!3m6!1s0x89e7b3c4258995fb:0x1db5883ffc603b00!8m2!3d41.6614358!4d-72.7867784!16s%2Fg%2F1tcz9br6!19sChIJ-5WJJcSz54kRADtg_D-ItR0,The Hospital of Central Connecticut- New Britain General Campus,2.8,378,Medical Center,"100 Grand St 1st Flr, New Britain, CT 06052, United States","M667+H7 New Britain, Connecticut, USA",https://thocc.org/,+1 860-224-5011,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1TephQ5VBk18Cif-Sm9sdJ7lQdwWWr-0kwGQRwqEUb9K7JBaXxQje6_8gKmB8v-tTxK5E8CsJGxEZYlPIDVmHJq0ZYlHQT7Wks_O22bpWDrJ7BYSCc6qNL4Xcb9flXuZoU_qeJw=w408-h306-k-no,false,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:04:52.802Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Hospital+for+Special+Care/data=!4m7!3m6!1s0x89e7b2271f725e35:0x3fd045fdc2ea9e6b!8m2!3d41.6892686!4d-72.8022445!16s%2Fg%2F1tczlhpx!19sChIJNV5yHyey54kRa57qwv1F0D8,Hospital for Special Care,4.1,242,General hospital,"2150 Corbin Ave, New Britain, CT 06053, United States","M5QX+P4 New Britain, Connecticut, USA",https://hfsc.org/,+1 860-223-2761,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNl8aD_FhJAgFsU1FFaogbwlCo-_tF8CkssKi3q=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:04:57.874Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Cancer+Center+of+Central+Ct/data=!4m7!3m6!1s0x89e7b3c6bc0309c5:0x25db0596dc1ecc8a!8m2!3d41.6596256!4d-72.7852409!16s%2Fg%2F1tcw96d2!19sChIJxQkDvMaz54kRiswe3JYF2yU,Cancer Center of Central Ct,,,Doctor,"40 Hart St # A, New Britain, CT 06052, United States","M657+VW New Britain, Connecticut, USA",,+1 860-224-4408,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RBVsYO2doeFEmvg6mCNNqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.25998&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:05:00.524Z,,,,,,,,,,,
https://www.google.com/maps/place/Community+Health+Center+of+New+Britain/data=!4m7!3m6!1s0x89e7b3cb02dd3693:0x71ab61fd7cf163df!8m2!3d41.6713474!4d-72.7840273!16s%2Fg%2F1tflbpfl!19sChIJkzbdAsuz54kR32PxfP1hq3E,Community Health Center of New Britain,4.0,249,Medical clinic,"85 Lafayette St, New Britain, CT 06051, United States","M6C8+G9 New Britain, Connecticut, USA",https://www.chc1.com/locations/new-britain/,+1 860-224-3642,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZ0qAdQfP_wmKP7wICNOUGvPpTAtu9C2ARLbLOWE_2NIzs-bATYr9xoJrWo4ir1OwLaTuq4iodrVPrt9xXttrcfjbjzVYHI-2iWlC4iovzFFv_2yZRukuBlwpRZwkfUDhv-MXB=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:05:05.528Z,,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–5 pm,8 am–4 pm,,,
https://www.google.com/maps/place/The+Hospital+of+Central+Connecticut/data=!4m7!3m6!1s0x89e7b3c667451ea7:0xdd593b636535005d!8m2!3d41.6619373!4d-72.7866013!16s%2Fg%2F11h10tmkld!19sChIJpx5FZ8az54kRXQA1ZWM7Wd0,The Hospital of Central Connecticut,4.0,8,Hospital,"100 Grand St, New Britain, CT 06052, United States","M667+Q9 New Britain, Connecticut, USA",https://thocc.org/,+1 860-224-5011,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5BJ-vkYxiVnbQAmuN3a-eA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.744705&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:05:10.436Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Root+Center+for+Advanced+Recovery+-+New+Britain+Clinic/data=!4m7!3m6!1s0x89e7b3b9c81d7465:0x79f30c5702fb8558!8m2!3d41.6716667!4d-72.7699981!16s%2Fg%2F1tffqcfx!19sChIJZXQdyLmz54kRWIX7AlcM83k,Root Center for Advanced Recovery - New Britain Clinic,2.9,23,Addiction treatment center,"542 E Main St, New Britain, CT 06051, United States","M6CJ+M2 New Britain, Connecticut, USA",https://rootcenter.org/new-britain-clinic/,+1 860-827-3313,Closed ⋅ Opens 5:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vWcgKPLEGIwXyI5SIQWRig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.49075&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+New+Britain+CT/@41.6800839,-72.7581581,14z",2025-09-28T23:05:15.334Z,,Closed,5:30 am–4 pm,5:30 am–4 pm,5:30 am–4 pm,5:30 am–4 pm,5:30 am–4 pm,6–9 am,,,
