placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Trinity+Medical+Center/data=!4m7!3m6!1s0x88626d58f3ba00a1:0x676d85b83017b00f!8m2!3d34.7204103!4d-86.5864259!16s%2Fg%2F11hy_20w0q!19sChIJoQC681htYogRD7AXMLiFbWc,Trinity Medical Center,4.8,46,Medical clinic,"500 Governors Dr SW, Huntsville, AL 35801, United States","PCC7+5C Huntsville, Alabama, USA",http://www.trinitymedical-care.com/,+1 256-667-3708,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokPx-PL2yLJsuAZEOVxBTAnxe3cLcCZpdjv5oCfF8DtimypZBgHvp9dt62V2FtWgeeYifv1wFJTMoGExW-saZeAv28-30exCoLMe5NRbFztofxWQWHa5cYA2ubmvogxz0Boyl9=w507-h240-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:12.119Z,,,,
"https://www.google.com/maps/place/Synergy+Wellness+at+MidCity:+Walk-In+Clinic,+Primary+Care,+MAT,+and+Ketamine+Infusions/data=!4m7!3m6!1s0x88626b9d59cffcaf:0x2e68295d6c1662df!8m2!3d34.7378044!4d-86.6532058!16s%2Fg%2F11p73q7qqr!19sChIJr_zPWZ1rYogR32IWbF0paC4","Synergy Wellness at MidCity: Walk-In Clinic, Primary Care, MAT, and Ketamine Infusions",4.4,151,Urgent care center,"4820 University Dr NW Suite 35, Huntsville, AL 35816, United States","P8QW+4P Huntsville, Alabama, USA",https://synergywellnessal.com/,+1 256-759-9167,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipObLFa09LeNtRQHje5DUCVS4zTMmicpZv8Bb09d=w416-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:17.335Z,,,,
https://www.google.com/maps/place/The+Covery/data=!4m7!3m6!1s0x88626d148c249a09:0xd6435e1d5e5789b5!8m2!3d34.714239!4d-86.5902318!16s%2Fg%2F11snpy8mwv!19sChIJCZokjBRtYogRtYlXXh1eQ9Y,The Covery,4.8,155,Wellness center,"2319 Memorial Pkwy SW Suite 115, Huntsville, AL 35801, United States","PC75+MW Huntsville, Alabama, USA",https://www.thecovery.com/locations/huntsville-al,+1 256-489-6365,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNiYAVPYG5cod-xR7yvyTxeHNgiTddjQPcjNIpa=w408-h272-k-no,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:22.439Z,,,,
https://www.google.com/maps/place/FlexCare+Infusion+Centers/data=!4m7!3m6!1s0x88626f84da61dc3d:0x22fd6a4af8246cdf!8m2!3d34.6879916!4d-86.7297746!16s%2Fg%2F11pyc6k04w!19sChIJPdxh2oRvYogR32wk-Epq_SI,FlexCare Infusion Centers,5.0,42,Medical Center,"1038 Research Blvd Suite 280, Madison, AL 35758, United States","M7QC+53 Madison, Alabama, USA",https://www.flexcareinfusion.com/,+1 256-258-9315,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP9oqpo8Ruu_SjLuZPSzixV_NVGI66IZq8F-tHz=w408-h271-k-no,true,Closed,8 am–4 pm,8 am–4 pm,11 am–7 pm,11 am–7 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:27.432Z,,,,
,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Harvest+Huntsville+AL/@45.3096317,-79.2438555,14z",2025-09-29T00:49:41.984Z,,,No new results found,
https://www.google.com/maps/place/American+Family+Care+Meridianville/data=!4m7!3m6!1s0x88623f89ce2c013f:0xc7528231e289b06f!8m2!3d34.8707742!4d-86.5721295!16s%2Fg%2F1263hfhyc!19sChIJPwEszok_YogRb7CJ4jGCUsc,American Family Care Meridianville,4.6,1919,Urgent care center,"12287 US-231, Meridianville, AL 35759, United States","VCCH+84 Meridianville, Alabama, USA",https://www.afcurgentcare.com/meridianville/,+1 256-828-1154,"Closed ⋅ Opens 8 am Mon

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5KXEpF7T6Gwkfq8HlOavLTksyyonk0keWHNpB5CNnMyQ7ceLo2A5f5JFIOpwAooepe8m_L9b8s6mHr668sJyy52Eh5PCYRswpTolYBfW7Q_7PKk-6NGI_Chk4nFjYR_n-zyOU=w411-h240-k-no,true,9 am–5 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:49:56.884Z,,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Results+Physiotherapy+Meridianville,+Alabama/data=!4m7!3m6!1s0x88623f63070f1967:0x7598e9b8ca0c348b!8m2!3d34.8709086!4d-86.5692515!16s%2Fg%2F11qbbhqlsg!19sChIJZxkPB2M_YogRizQMyrjpmHU","Results Physiotherapy Meridianville, Alabama",5.0,59,Physical therapy clinic,"12290 Highway 231 431 N Ste J, Meridianville, AL 35759, United States","VCCJ+97 Meridianville, Alabama, USA",https://www.resultspt.com/meridianville-alabama?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 256-562-8340,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNskyFQp2jNBT-aAmHZBw_GgJMBoPUqGs55dtVL=w426-h240-k-no,true,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:01.996Z,,,,
https://www.google.com/maps/place/HealthSource+Chiropractic+of+Meridianville/data=!4m7!3m6!1s0x88623fab9dfea209:0x3656779e71c9db06!8m2!3d34.8573452!4d-86.570613!16s%2Fg%2F11x1p804zz!19sChIJCaL-nas_YogRBtvJcZ53VjY,HealthSource Chiropractic of Meridianville,5.0,31,Chiropractor,"11850 US-231 431 N Suite J, Meridianville, AL 35759, United States","VC4H+WQ Meridianville, Alabama, USA",https://www.healthsourcechiro.com/location/meridianville,+1 256-800-2225,"Closed ⋅ Opens 8:30 am Mon

Updated by phone call 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrCH6MEylUPnSYdCKUdbnssF7Ut09z62Z8ZIx25vUg64ZaEKryAbe1ZkYV_ZUb2WSL37YG4PiJj4c4htaJNVFX8PsTBtpskEg3A3xQBDGEmrqfhMiaZmxJUy5VrNPqILpk8dU9i4S4X3Zxg=w408-h544-k-no,true,Closed,"8:30 am–12 pm, 2–6 pm",2–6 pm,"8:30 am–12 pm, 2–6 pm",2–6 pm,8:30 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:07.037Z,,,,
https://www.google.com/maps/place/Therafit+Physical+Therapy+%26+Fitness+Center/data=!4m7!3m6!1s0x88623fd15e3b43e5:0x13dbad1fc5fc969f!8m2!3d34.8863445!4d-86.5697958!16s%2Fg%2F11h1fzjtpc!19sChIJ5UM7XtE_YogRn5b8xR-t2xM,Therafit Physical Therapy & Fitness Center,5.0,85,Physical therapy clinic,"12819 US-231 Suite G, Hazel Green, AL 35750, United States","VCPJ+G3 Hazel Green, Alabama, USA",https://therafital.com/,+1 256-829-9544,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOEISNnbHnb3WeBWkdN8e9LmHYVlOsMbPvoo66t=w408-h544-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:12.007Z,,Identifies as veteran-owned,,
https://www.google.com/maps/place/Revive+Clinic+HSV/data=!4m7!3m6!1s0x88621597961e691d:0xb1b335c80257e08!8m2!3d34.7710227!4d-86.5374758!16s%2Fg%2F11vyx98cqx!19sChIJHWkelpcVYogRCH4lgFwzGws,Revive Clinic HSV,5.0,20,Medical clinic,"3490 Harris Hill Blvd NE Unit B, Huntsville, AL 35811, United States","QFC7+C2 Huntsville, Alabama, USA",https://www.revivehsv.com/,+1 256-203-2178,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMRZPvWltRzRW5kqRC0lJFFtInPom8MxPrzHVj4=w408-h544-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:16.919Z,,,,
https://www.google.com/maps/place/American+Family+Care+East+Huntsville/data=!4m7!3m6!1s0x886215b172a301bb:0x3864148cd5de0a4b!8m2!3d34.7756574!4d-86.5268618!16s%2Fg%2F1v2yzll_!19sChIJuwGjcrEVYogRSwre1YwUZDg,American Family Care East Huntsville,4.6,2152,Urgent care center,"46 Shields Rd, Huntsville, AL 35811, United States","QFGF+77 Huntsville, Alabama, USA",https://www.afcurgentcare.com/east-huntsville/,+1 256-716-8213,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNGNMfpbkPXA6gsxAcFOvS6ChHaB212aTNYhG7A=w417-h240-k-no,true,8 am–4 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:29.294Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/The+Orthopaedic+Center+Hazel+Green+-+Physical+Therapy/data=!4m7!3m6!1s0x886238afce77e437:0x7fb4f7c1000e4faa!8m2!3d34.9106941!4d-86.571022!16s%2Fg%2F11b6n_6wl6!19sChIJN-R3zq84YogRqk8OAMH3tH8,The Orthopaedic Center Hazel Green - Physical Therapy,4.8,98,Physical therapy clinic,"13596 US Hwy 231/431 #7, 13596 Highway 231/431 Suite 2, Hazel Green, AL 35750, United States","WC6H+7H Hazel Green, Alabama, USA",https://www.visittoc.com/locations/toc-therapy-hazel-green/,+1 256-828-0312,Closed ⋅ Opens 7:40 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CTNPd0kOB7W4xIByvL-imw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.879315&pitch=0&thumbfov=100,true,Closed,7:40 am–5 pm,7:40 am–5 pm,7:40 am–5 pm,7:40 am–5 pm,7:40 am–1 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:34.228Z,,,,
https://www.google.com/maps/place/Fast+Pace+Health+Urgent+Care+-+Huntsville+-+AL/data=!4m7!3m6!1s0x886215fcea9040c7:0x7e3f74d39faa5e97!8m2!3d34.7978609!4d-86.5378234!16s%2Fg%2F11y8dt7k_f!19sChIJx0CQ6vwVYogRl16qn9N0P34,Fast Pace Health Urgent Care - Huntsville - AL,4.6,170,Urgent care center,"6001 Marcus Byers Dr NE, Huntsville, AL 35811, United States","QFX6+4V Huntsville, Alabama, USA",https://fastpacehealth.com/location/huntsville-al-urgent-care/?utm_source=google&utm_medium=listings&utm_campaign=uc,+1 256-864-6656,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNgy-CIG6OWhKCIYAVj7J3YAtEYUa7bI3XK8XU=w426-h240-k-no,true,8 am–5 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,8 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:39.405Z,,,,
https://www.google.com/maps/place/Crestwood+Medical+Group+-+Primary+Care+-+Winchester+Road/data=!4m7!3m6!1s0x88623d506f4f1325:0xbb718daf2d0aea48!8m2!3d34.8176192!4d-86.494752!16s%2Fg%2F11q25rpkyn!19sChIJJRNPb1A9YogRSOoKLa-Ncbs,Crestwood Medical Group - Primary Care - Winchester Road,4.3,397,Medical clinic,"2139 Winchester Rd NE, Huntsville, AL 35811, United States","RG94+23 Huntsville, Alabama, USA",https://www.crestwoodmedgroup.com/our-locations/crestwood-medical-group-primary-care-winchester-ro-2933?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 256-429-4282,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKKvHzlWSpAOX7sCB4QmxMFRTGbyY-xeTMq8qyuEFV7539IOiM0lZlEoviBw2AMhifrIrxQwhzlEHtK-icAkqlTjhfllprs7wzGkpYS3HGLfy9DBwqYnEAzr6AN0YMO8LDuxu7=w408-h544-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:44.420Z,,,,
https://www.google.com/maps/place/Rocket+City+Vital+Care/data=!4m7!3m6!1s0x8862136ef73e16e5:0x5104b467f475c778!8m2!3d34.693711!4d-86.5734305!16s%2Fg%2F11h7kq3p33!19sChIJ5RY-924TYogReMd19Ge0BFE,Rocket City Vital Care,4.2,10,Pharmacy,"250 Chateau Dr SW #112, Huntsville, AL 35801, United States","MCVG+FJ Huntsville, Alabama, USA",https://rocketcityvitalcare.com/,+1 256-970-1800,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VXb3193dC9tcZqTYJsHRXQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=219.33908&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:49.592Z,· Delivery,,,
https://www.google.com/maps/place/Alliance+Cancer+Care+Radiation+Oncology/data=!4m7!3m6!1s0x88626d3839387787:0x4ebc9d1dcd85198a!8m2!3d34.7206265!4d-86.581895!16s%2Fg%2F11t3j0565p!19sChIJh3c4OThtYogRihmFzR2dvE4,Alliance Cancer Care Radiation Oncology,4.9,20,Cancer treatment center,"201 Sivley Rd SW Suite 10, Huntsville, AL 35801, United States","PCC9+76 Huntsville, Alabama, USA",https://alliancecancercare.com/,+1 256-319-5400,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPZB5UoEdSeagF2vSf2m63BjzNKWZh-7FqlJFXiZCztzsF3nP4c-PvWhzEvgVLHXHkzikCsVr3kFou-Je3CO0UPBtr3A0hRhtTC_qYElM7Pj4SZAkawkZGzhQQlAIkkSgFbpfUow=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:54.467Z,,,,
https://www.google.com/maps/place/Renew+Medical+Spa/data=!4m7!3m6!1s0x88626cb61a357e85:0xf41f25f30678e6d6!8m2!3d34.7050312!4d-86.5863779!16s%2Fg%2F11f0ky38w5!19sChIJhX41GrZsYogR1uZ4BvMlH_Q,Renew Medical Spa,4.6,22,Medical spa,"507 Drake Ave SW UNIT E, Huntsville, AL 35801, United States","PC47+2C Huntsville, Alabama, USA",http://www.renewhuntsville.com/,+1 256-489-4808,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6bjMrUc0P1V8L93slHoW5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.14833&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:50:59.240Z,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88626f16d996e1f9:0xfb1845df1ad27499!8m2!3d34.6862545!4d-86.7362153!16s%2Fg%2F11svj4kg1n!19sChIJ-eGW2RZvYogRmXTSGt9FGPs,Metro Infusion Center,,,Medical office,"20 Hughes Rd Suite 103, Madison, AL 35758, United States","M7P7+GG Madison, Alabama, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O9G8iM-z1ufd7NcONYZhbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.385548&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Meridianville+Huntsville+AL/@34.8699372,-86.571385,14z",2025-09-29T00:51:03.971Z,,LGBTQ+ friendly,,
