placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes
https://www.google.com/maps/place/ProActive+Health+-+Chiropractic+%26+Functional+Medicine/data=!4m7!3m6!1s0x8816cda404c3265d:0x7b2f449e2c66d5c3!8m2!3d41.6230722!4d-86.1796464!16s%2Fg%2F1tkkvgzb!19sChIJXSbDBKTNFogRw9VmLJ5EL3s,ProActive Health - Chiropractic & Functional Medicine,5.0,102,Chiropractor,"16089 Jackson Rd, Mishawaka, IN 46544, United States","JRFC+64 Mishawaka, Indiana, USA",http://www.proa.co/,+1 574-271-1771,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZYXUfUKC3kirbzxxt1lmRxGxhBfbGW3zxGyXLmFIaQATFm03fmMAZ6KHDxicgtLmJCrBvK5zPs3ngvPa7jefupQAOqyrzbB_ym2mNWq6UgAhzARdQ4qhAE-sxVip6TszQjTgxKw=w408-h306-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–1 pm,8:30 am–1 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:50.773Z,,
https://www.google.com/maps/place/Candescent+Health+and+Wellness/data=!4m7!3m6!1s0x8816cda93214b7bb:0x8a8aa79755bec47f!8m2!3d41.6972487!4d-86.2170939!16s%2Fg%2F11tcw6ythj!19sChIJu7cUMqnNFogRf8S-VZenioo,Candescent Health and Wellness,4.9,56,Medical clinic,"2104 Ironwood Cir, South Bend, IN 46635, United States","MQWM+V5 South Bend, Indiana, USA",http://www.candescent.health/,+1 574-334-7444,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipPD7uoZENRBgz-gZcJ_664-JpI8zV1fVvv5NFN5=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:55.960Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Wellness+With+Allison/data=!4m7!3m6!1s0x8816cd2679f794cf:0xd5e733dc367122ca!8m2!3d41.6655281!4d-86.2126234!16s%2Fg%2F11wnpb7b_2!19sChIJz5T3eSbNFogRyiJxNtwz59U,Wellness With Allison,5.0,3,Holistic medicine practitioner,"2402 E Mishawaka Ave, South Bend, IN 46615, United States","MQ8P+6X South Bend, Indiana, USA",https://wellnesswithallison.net/,+1 904-834-9345,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HuW6zCFQ3WVLQb0dG_KOjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.6556&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:58.573Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/Life+Pulse+Wellness/@46.423669,-129.9427085,3z/data=!3m1!4b1!4m6!3m5!1s0x29953ee56fc51459:0x86b96462bb9fa31c!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11l2c216_w",Life Pulse Wellness,,,Holistic medicine practitioner,,,,+1 574-250-3292,Open · Closes 6 pm,,,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:05.150Z,,
"https://www.google.com/maps/place/Elizabeth+A+Weston+Hammang,+MD/data=!4m7!3m6!1s0x8816d19ed8bfffff:0x78dd1a6e3936c879!8m2!3d41.7322635!4d-86.1574477!16s%2Fg%2F11qgb7b3qh!19sChIJ__-_2J7RFogRecg2OW4a3Xg","Elizabeth A Weston Hammang, MD",4.8,57,Family practice physician,"52500 N Fir Rd, Granger, IN 46530, United States","PRJV+W2 Granger, Indiana, USA",https://www.sjmed.com/provider/elizabeth-allen-weston-hammang-md-family-medicine,+1 574-234-8161,,,https://lh3.googleusercontent.com/p/AF1QipPhgm3s0lycLLwBmAQF5G8zZhrAhNa069kbl0Pq=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:07.766Z,,
https://www.google.com/maps/place/SHIFT+Functional+Medicine/data=!4m7!3m6!1s0x54b8c7174b07ca39:0xfa2dc9e6dc5ecf69!8m2!3d44.063782!4d-121.34463!16s%2Fg%2F11h0b1s_b2!19sChIJOcoHSxfHuFQRac9e3ObJLfo,SHIFT Functional Medicine,4.9,112,Medical clinic,"2220 NW Labiche Ln Ste 110, Bend, OR 97703, United States","3M74+G4 Bend, Oregon, USA",http://www.shiftfunctionalmed.com/,+1 541-213-2265,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipP6L6Ls3C9cQBb7GnTCfa1HKXty8uoMBxDD0bUK=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:12.725Z,LGBTQ+ friendly,
https://www.google.com/maps/place/HALT+-+Healthier+Alternatives+CBD+Store/data=!4m7!3m6!1s0x8816cd65c8ac29f7:0xda61c5f25c30ec01!8m2!3d41.6654951!4d-86.2007447!16s%2Fg%2F11fph8drg3!19sChIJ9ymsyGXNFogRAewwXPLFYdo,HALT - Healthier Alternatives CBD Store,4.7,20,Herbal medicine store,"3318 E Mishawaka Ave, South Bend, IN 46615, United States","MQ8X+5P South Bend, Indiana, USA",http://haltalternatives.com/,+1 574-292-6253,,,https://lh3.googleusercontent.com/p/AF1QipOwkRpfpxC-DiTnDqQFgbAcAKD9noukWtAvXjcT=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:15.631Z,Identifies as women-owned,· In-store shopping · In-store pick-up · Delivery
https://www.google.com/maps/place/IHC+Community+Health+Center+of+Bendix/data=!4m7!3m6!1s0x88113289159e9dc9:0x58b87c439b4b2e1a!8m2!3d41.6877811!4d-86.2930166!16s%2Fg%2F1hc4b9sm6!19sChIJyZ2eFYkyEYgRGi5Lm0N8uFg,IHC Community Health Center of Bendix,4.2,92,Medical clinic,"1010 N Bendix Dr, South Bend, IN 46628, United States","MPQ4+4Q South Bend, Indiana, USA",http://www.indianahealthonline.org/,+1 574-245-4980,Open · Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipOT8Qc4xChACJWV4hZBVYqj6pHlD1c2HzR-heUr=w408-h339-k-no,true,7:30 am–6 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–6 pm,8 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:20.622Z,,
"https://www.google.com/maps/place/Claire+Walker,+CNM/data=!4m7!3m6!1s0x8816c335199c7b91:0x58ed5077914ee3a!8m2!3d41.6972487!4d-86.2170939!16s%2Fg%2F11hdmvs50p!19sChIJkXucGTXDFogROu4UeQfVjgU","Claire Walker, CNM",3.0,2,Midwife,"2104 Ironwood Cir, South Bend, IN 46635, United States","MQWM+V5 South Bend, Indiana, USA",http://www.candescent.health/,+1 574-334-7444,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNKOXI0sfCi4IVLsAJLofb22QXrGYiNBEanJ6E=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:25.971Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Acupuncture+%26+Natural+Healing/data=!4m7!3m6!1s0x8816d20f2ea141b1:0xf1fed5ffb826ae01!8m2!3d41.7028529!4d-86.1901151!16s%2Fg%2F126180n7p!19sChIJsUGhLg_SFogRAa4muP_V_vE,Acupuncture & Natural Healing,4.9,113,Acupuncture clinic,"4609 Grape Rd Suite D-3, Mishawaka, IN 46545, United States","PR35+4X Mishawaka, Indiana, USA",http://www.acupuncture-southbend.com/,+1 574-210-3426,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZ8aG9wcaV37Oddb-_iCjE2-dgnxbY_-XDavu4YiFjD-azFKfEI9e-agRJKxG0-j-d2Bjy5kgnU8pevqLuxAC7Rd4LT5EouKhubu_d_yi_9CCFc4YP5Q1Yw6FyT5copa6TW-B1=w408-h408-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,11 am–4 pm,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:31.104Z,,
https://www.google.com/maps/place/East+West+Center+For+Natural+Medicine/data=!4m7!3m6!1s0x8816cd6bffffffff:0x74face813095a258!8m2!3d41.6840775!4d-86.231068!16s%2Fg%2F1xg5t8kd!19sChIJ_____2vNFogRWKKVMIHO-nQ,East West Center For Natural Medicine,,,Holistic medicine practitioner,"South Bend, IN 46617, United States","MQM9+JH South Bend, Indiana, USA",,+1 574-246-9582,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VSJb3yFhf746xlcbRJFl7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.100569&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:33.751Z,,
https://www.google.com/maps/place/Inspired+Health+LLC/data=!4m7!3m6!1s0x8811991e2111f2bb:0x18e9427477394316!8m2!3d41.442335!4d-87.1879335!16s%2Fg%2F11hyxr3mq0!19sChIJu_IRIR6ZEYgRFkM5d3RC6Rg,Inspired Health LLC,4.6,19,Medical office,,,http://www.inspiredhealthllc.com/,+1 219-225-1859,Open · Closes 3 pm,,https://lh3.googleusercontent.com/p/AF1QipMX4bc9vCZ34NhzoFOGiWlnAUJmuQl7dO057lwx=w408-h408-k-no,true,8:30 am–3 pm,8:30 am–3 pm,Closed,8:30 am–3 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:38.872Z,,
https://www.google.com/maps/place/Myofascial+Release+Clinic/data=!4m7!3m6!1s0x8816cdaed774d1b7:0x8997e891100ce2bf!8m2!3d41.6658238!4d-86.2102179!16s%2Fg%2F1tdq1r6g!19sChIJt9F0167NFogRv-IMEJHol4k,Myofascial Release Clinic,5.0,5,Massage service,"2601 E Mishawaka Ave, South Bend, IN 46615, United States","MQ8Q+8W South Bend, Indiana, USA",,+1 574-220-3285,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kE424qOwmVaFE6mxACV7Aw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.5413&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:41.754Z,,
https://www.google.com/maps/place/Mystic+Hollow+LLC/data=!4m7!3m6!1s0x8816cdd0626af74d:0xba3c17d1a9215d54!8m2!3d41.6655064!4d-86.212849!16s%2Fg%2F11xl61wvqf!19sChIJTfdqYtDNFogRVF0hqdEXPLo,Mystic Hollow LLC,5.0,20,Metaphysical supply store,"2316 E Mishawaka Ave, South Bend, IN 46615, United States","MQ8P+6V South Bend, Indiana, USA",http://mysticxxhollow.com/,+1 574-807-2702,"Closed · Opens 2 pm Wed

Updated by this business 5 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipM5jw69EL2jsgarqCBDVfeiTSkR7WPRblgxJHKd=w408-h306-k-no,true,Closed,Closed,2–6 pm,2–6 pm,1–6 pm,11 am–7 pm,12–5 pm,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:46.798Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Beyond+Zen+Studio/data=!4m7!3m6!1s0x8816d1877ef4de63:0x6e259f04c509d727!8m2!3d41.7297556!4d-86.17505!16s%2Fg%2F1ptxbxxyj!19sChIJY970fofRFogRJ9cJxQSfJW4,Beyond Zen Studio,4.9,114,Acupuncturist,"318 Toscana Blvd, Granger, IN 46530, United States","PRHF+WX Granger, Indiana, USA",https://www.beyondzenstudio.com/,+1 574-855-1405,Open · Closes 8:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOKf9MTz-9wWsnnwTMbZI6D0jyJFZjBbQ1s2MXV=w408-h544-k-no,true,8:30 am–8:30 pm,8:30 am–8:30 pm,8:30 am–8:30 pm,8:30 am–8:30 pm,"8:30 am–2 pm, 4:30–7:30 pm",8:30 am–2 pm,9:30 am–2 pm,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:52.230Z,,
https://www.google.com/maps/place/INSPIRED+HEALTH:+Integrative+%2B+Functional+Medicine+Center/data=!4m7!3m6!1s0x54b8c62c0fcdf2d9:0x1ef8e7955daf34f!8m2!3d44.0504077!4d-121.3161103!16s%2Fg%2F1tdc9jlg!19sChIJ2fLNDyzGuFQRT_PaVXmO7wE,INSPIRED HEALTH: Integrative + Functional Medicine Center,4.8,57,Naturopathic practitioner,"550 SW Industrial Way Building 2, Bend, OR 97702, United States","3M2M+5H Bend, Oregon, USA",https://inspiredhealthmed.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=bf12b2fb-47c6-4d96-8f10-12bf03945368,+1 541-312-9838,Open · Closes 2 pm,,https://lh3.googleusercontent.com/p/AF1QipO_XclLlZeGiNnybuA7h80nYt-7VFA9bzQHEU3n=w408-h272-k-no,true,9 am–2 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:33:57.657Z,,
"https://www.google.com/maps/place/Sara+R+Hake,+NP/data=!4m7!3m6!1s0x8816cdfd30fb454d:0xb4952126c96a17c0!8m2!3d41.6784254!4d-86.2360476!16s%2Fg%2F11lmdns525!19sChIJTUX7MP3NFogRwBdqySYhlbQ","Sara R Hake, NP",5.0,20,Nurse practitioner,"211 N Eddy St, South Bend, IN 46617, United States","MQH7+9H South Bend, Indiana, USA",https://www.southbendclinic.com/physicians/sara-hake-fnp?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,+1 574-234-8161,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNgxlbxuaRlGEaEZIk_4AlE9iWwoAeFJo_omF5n=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:34:03.162Z,,
https://www.google.com/maps/place/Center+For+Integrative+Medicine/data=!4m7!3m6!1s0x54b8c8a0e65d4ac1:0xaddb06b5a6f36c0e!8m2!3d44.0643599!4d-121.2994099!16s%2Fg%2F11b5pj9h3v!19sChIJwUpd5qDIuFQRDmzzprUG260,Center For Integrative Medicine,4.4,21,Doctor,"464 NE Norton Ave, Bend, OR 97701, United States","3P72+P6 Bend, Oregon, USA",http://www.centerforintegratedmed.com/,+1 541-323-3358,"Open · Closes 5 pm

Updated by others 5 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPGJmVqw6n6amKBi8Q26GmDU1GBFk75H-pVP_5V=w638-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:34:08.120Z,,
"https://www.google.com/maps/place/Alan+S.+Leichter,+DC/data=!4m7!3m6!1s0x8816cd04f0c972c1:0xc37f3ed647f29d07!8m2!3d41.6104094!4d-86.2527139!16s%2Fg%2F1wk6_cl8!19sChIJwXLJ8ATNFogRB53yR9Y-f8M","Alan S. Leichter, DC",5.0,16,Chiropractor,"60930 US-31, South Bend, IN 46614, United States","JP6W+5W South Bend, Indiana, USA",https://www.chirohealthsb.com/meet-the-doctors,+1 574-291-1000,Open · Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipMGq_rqcw_nzQlGNYtOsCbvx5nLJDrTI2vcSYNc=w408-h267-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,1:30–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:34:12.771Z,,
https://www.google.com/maps/place/Advanced+Rehabilitation+Center+of+South+Bend/data=!4m7!3m6!1s0x8816cd71071c09ff:0x4b1bc0d3cd7701d7!8m2!3d41.6296808!4d-86.2452623!16s%2Fg%2F11h9h8y1d2!19sChIJ_wkcB3HNFogR1wF3zdPAG0s,Advanced Rehabilitation Center of South Bend,4.8,31,Chiropractor,"411 E Ireland Rd ste 100, South Bend, IN 46614, United States","JQH3+VV South Bend, Indiana, USA",https://advancedrehabin.com/,+1 574-222-2886,Open · Closes 6 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s2Qj7dC2MymQJXiQvIyduA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.7974&pitch=0&thumbfov=100,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:34:17.647Z,,
