placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,info,error
"https://www.google.com/maps/place/Cover+Care,+LLC/data=!4m7!3m6!1s0x8840519ee4864c0b:0x6fa854082bcc525b!8m2!3d39.2848505!4d-84.3670848!16s%2Fg%2F11g3_b7b1x!19sChIJC0yG5J5RQIgRW1LMKwhUqG8","Cover Care, LLC",4.8,79,Swimming pool repair service,"300 E Business Way suite 200-2087, Cincinnati, OH 45241, United States","7JMM+W5 Cincinnati, Ohio, USA",https://covercare.com/,+1 513-297-4094,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM6sWgylwcFHCxTO93_G4--3hcdWpX_yOHR8FW0=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:52.192Z,,,,
https://www.google.com/maps/place/O%27Brien+Pools+Inc./data=!4m7!3m6!1s0x88404a79d4211bcb:0x8bfc530311945003!8m2!3d39.2474088!4d-84.6030923!16s%2Fg%2F12610pztj!19sChIJyxsh1HlKQIgRA1CUEQNT_Is,O'Brien Pools Inc.,4.8,19,Swimming pool contractor,"3748 Susanna Dr, Cincinnati, OH 45251, United States","69WW+XQ Cincinnati, Ohio, USA",https://obrienpoolsinc.com/,+1 513-383-1318,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPej5s2igSK5i9Fy9k2hjs9QXf44GdADuaUOVtb=w427-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:39:57.420Z,,,,
https://www.google.com/maps/place/Ernie%27s+Underwater+Pool+Repair/data=!4m7!3m6!1s0x8841b2e6afba4c8d:0xd9d31b00873310eb!8m2!3d39.4102134!4d-85.044954!16s%2Fg%2F11bvqjzmr5!19sChIJjUy6r-ayQYgR6xAzhwAb09k,Ernie's Underwater Pool Repair,5.0,17,Swimming pool repair service,,,http://erniesunderwater.com/%20%20%20%20%20ewaits2@gmail.com,+1 513-310-4139,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipP5XcAcdF5V_bjakW4TbdZLxmrF00-YzQp8pNdK=w408-h272-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:03.043Z,,true,,
https://www.google.com/maps/place/Academy+Pool+Service/data=!4m7!3m6!1s0x884100d3d0d64655:0xb68de247ea07bece!8m2!3d39.1001255!4d-84.2352428!16s%2Fg%2F1hc8mgtxf!19sChIJVUbW0NMAQYgRzr4H6kfijbY,Academy Pool Service,4.7,14,Swimming pool repair service,"4565 Wood Forest Dr, Batavia, OH 45103, United States","4Q27+3W Batavia, Ohio, USA",http://www.academypools.net/,+1 513-752-7946,"Open ⋅ Closes 7 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO8i2AdjoP0vdSmslhM2Ii5-PiRjVGBT9su3Q1h=w426-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:08.211Z,,,,
https://www.google.com/maps/place/Pool+Restoration+Services/data=!4m7!3m6!1s0x8841b3b500000001:0x3ac3d4fcf1ef7b99!8m2!3d39.1306778!4d-84.4828012!16s%2Fg%2F1tz721_7!19sChIJAQAAALWzQYgRmXvv8fzUwzo,Pool Restoration Services,,,Swimming pool contractor,"Cincinnati, OH 45206, United States","4GJ8+7V Cincinnati, Ohio, USA",,+1 513-961-1600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3z_rXA8ZJ4p4uC-DFDtYBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.37421&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:11.323Z,,,,
"https://www.google.com/maps/place/Susan's+Pool+%26+Spa+Care/@39.1123473,-84.3695834,17z/data=!3m1!4b1!4m6!3m5!1s0x8841ac1a00a6e7cd:0xc1560577132a401b!8m2!3d39.1123473!4d-84.3695834!16s%2Fg%2F1w6_phgy",Susan's Pool & Spa Care,3.0,6,Swimming pool contractor,"6344 Turpin Hills Dr, Cincinnati, OH 45244, United States","4J6J+W5 Cincinnati, Ohio, USA",,+1 513-231-3848,,,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:16.373Z,,,,
https://www.google.com/maps/place/Eastgate+Pools+%26+Spas/data=!4m7!3m6!1s0x8841aa197e54f4c3:0xb4c18a7f89f7c3cd!8m2!3d39.1041157!4d-84.2855824!16s%2Fg%2F1th6fj8b!19sChIJw_RUfhmqQYgRzcP3iX-KwbQ,Eastgate Pools & Spas,4.0,296,Swimming pool contractor,"685 Cincinnati-Batavia Pike, Cincinnati, OH 45245, United States","4P37+JQ Cincinnati, Ohio, USA",https://www.eastgatepools.com/?utm_source=google&utm_medium=organic&utm_id=2060digital&utm_campaign=gbp,+1 513-528-4141,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOcZYPMYwZz_6pquwl7Wx8oqG7yDGHf2wByDuld=w546-h240-k-no,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–6 pm,11 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:21.467Z,"Store featuring pools, hot tubs, grills & patio furniture, plus pool tables, darts & bar stools.",,,
https://www.google.com/maps/place/POOL+REPAIR+INC/data=!4m7!3m6!1s0x884107005019bb53:0x771e03c0907c47f1!8m2!3d39.0554174!4d-84.2321494!16s%2Fg%2F1v4203z_!19sChIJU7sZUAAHQYgR8Ud8kMADHnc,POOL REPAIR INC,4.8,12,Swimming pool repair service,"Pool Repair Inc, 1377 Buxton Meadows Dr, Amelia, OH 45102, United States","3Q49+54 Amelia, Ohio, USA",http://poolrepairinc.com/,+1 513-518-5777,Open ⋅ Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cXx_LwAvramymG-CC8KyLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.8344&pitch=0&thumbfov=100,false,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:26.481Z,,,,
https://www.google.com/maps/place/Cincinnati+Pool+Divers/data=!4m7!3m6!1s0x8840534e14d22991:0xbd47252a1a3b0e8a!8m2!3d39.168218!4d-84.4063545!16s%2Fg%2F11h07_h8nv!19sChIJkSnSFE5TQIgRig47GiolR70,Cincinnati Pool Divers,4.9,87,Swimming pool repair service,,,http://www.cincinnatipooldivers.com/,+1 513-843-9799,Open ⋅ Closes 6:30 pm,https://lh3.googleusercontent.com/p/AF1QipOzuLG5v-0Ke7W5WnJ__SRnB--zcfYeevh0GE3b=w408-h306-k-no,true,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:31.521Z,,,,
https://www.google.com/maps/place/Leslie%27s+Pool+Supplies/data=!4m7!3m6!1s0x8841ca0bec9a28bf:0xcf2322b66296b867!8m2!3d39.1304004!4d-84.6109228!16s%2Fg%2F1tctsbvl!19sChIJvyia7AvKQYgRZ7iWYrYiI88,Leslie's Pool Supplies,3.8,88,Swimming pool supply store,"5038 Glencrossing Way Ste 176, Cincinnati, OH 45238, United States","49JQ+5J Cincinnati, Ohio, USA",https://lesliespool.com/location/cincinnati-ohio-western-hills-186.html?utm_source=gmb&utm_medium=organic&utm_campaign=store_186,+1 513-922-3373,"Open ⋅ Closes 6 pm

Updated by this business 1 week ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwl0Z6xpLq-mYVvkTnjV4xZqT9Ff8hhkkNXc3nMKDmQm0yUV2KVl6oLrUzojalFrYbTifZ_u8eHHYkUAWGiAnUJmCP-ObGDojIDVgOuTEiF7t_UTHE93fxInKxZWkQ7poYJUGkgJA=w426-h240-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:37.079Z,"Chain providing a full range of swimming pool equipment, chemicals & accessories, plus water toys. · In-store shopping · Kerbside pickup",,LGBTQ+ friendly,
https://www.google.com/maps/place/Anchor+Pools+%26+Spas/data=!4m7!3m6!1s0x884030e19bcb3461:0xa8766d2ef6b2c035!8m2!3d39.2817884!4d-84.4865968!16s%2Fg%2F1v3knrb0!19sChIJYTTLm-EwQIgRNcCy9i5tdqg,Anchor Pools & Spas,4.4,19,Swimming pool contractor,"401 Northland Blvd, Cincinnati, OH 45240, United States","7GJ7+P9 Cincinnati, Ohio, USA",https://anchorpoolsandspas.net/,+1 513-829-5551,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipO1tRD8UId_WHNh-uXTj_r1-vjmz8IPniSukPAC=w408-h307-k-no,true,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:42.351Z,,,,
https://www.google.com/maps/place/Ohio+Pool+Restoration/data=!4m7!3m6!1s0x8840e1b27f969459:0x57b915bf5c8a64d8!8m2!3d39.101069!4d-84.262434!16s%2Fg%2F11rb60wsrv!19sChIJWZSWf7LhQIgR2GSKXL8VuVc,Ohio Pool Restoration,4.8,123,Swimming pool contractor,"956 Old State Rte 74, Batavia, OH 45103, United States","4P2Q+C2 Batavia, Ohio, USA",http://www.ohiopoolrestoration.com/,+1 513-753-7946,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAWIszR2XiiKMgsS_SaHXwgjz9I_j9UloDnKOg2E9HxuWLOMBrJyQtY6ndW-AHMPojlkWRKIxxdcFFWfRP_ki-P4TfaQkLdXkYBOPwiQhECTAupfnL7xkezqFmzOo9Z9vTRIu7sg=w408-h544-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:48.904Z,,,,
https://www.google.com/maps/place/Ziegler+Park+Pool/data=!4m7!3m6!1s0x8841b3e2c24e1157:0xbe74a04227a7f559!8m2!3d39.1108444!4d-84.5112904!16s%2Fg%2F1td6yt1y!19sChIJVxFOwuKzQYgRWfWnJ0KgdL4,Ziegler Park Pool,4.5,345,Swimming pool,"216 Woodward St, Cincinnati, OH 45202, United States","4F6Q+8F Cincinnati, Ohio, USA",https://zieglerpark.org/feature/pool/information/,+1 513-381-7946,"Open ⋅ Closes 6:45 pm

Updated by phone call 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHZMLJ5_3xcaeq5czxO7ZnPxLLSGmRLbOO39S17vNsfaj3HVW3V8ujoyYZvzIVDkA2vxsk9KVSpGhXI35PGz3xTK-3D5kV1Qq6CkIKGd6o8Jj9F_-4TksdI28qujWYNZkzUvCf=w408-h306-k-no,false,10 am–6:45 pm,10 am–6:45 pm,10 am–6:45 pm,10 am–6:45 pm,10 am–6:45 pm,10 am–6:45 pm,10 am–6:45 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:54.078Z,,,,
https://www.google.com/maps/place/Aqua-Tech+Pools/data=!4m7!3m6!1s0x884050caf5a4b2ff:0xd3c6f2df25627c46!8m2!3d39.3276149!4d-84.3566082!16s%2Fg%2F1tcv_2n5!19sChIJ_7Kk9cpQQIgRRnxiJd_yxtM,Aqua-Tech Pools,4.3,109,Swimming pool contractor,"8717 Cincinnati Columbus Rd, West Chester Township, OH 45069, United States","8JHV+29 Mason, Ohio, USA",http://www.aquatechpoolsohio.com/,+1 513-777-3500,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP9xs6jnggZ9Oq43V3zczAkKo3m1FKcTxPTqa7B=w408-h272-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:40:59.379Z,,,,
https://www.google.com/maps/place/Cincinnati+Pool+Management/data=!4m7!3m6!1s0x88404e2609eeea4b:0xfff8bbf037e7a199!8m2!3d39.2939!4d-84.4070549!16s%2Fg%2F1tgnxx7x!19sChIJS-ruCSZOQIgRmaHnN_C7-P8,Cincinnati Pool Management,3.5,11,Swimming pool repair service,"3461 Mustafa Dr Suite 101, Sharonville, OH 45241, United States","7HVV+H5 Sharonville, Ohio, USA",http://www.cincinnati-pmg.com/?utm_source=gmb&utm_medium=yext,+1 513-777-1444,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipMaPxArR-qzjohkj_NlRBEk1Y3tNacVvr335jIO=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:41:04.696Z,,,,
https://www.google.com/maps/place/Mid-American+Gunite+Pools/data=!4m7!3m6!1s0x8841b118d51ccd51:0xf79d5a6b1cf6a6cd!8m2!3d39.0227451!4d-84.595696!16s%2Fg%2F1tdfnysv!19sChIJUc0c1RixQYgRzab2HGtanfc,Mid-American Gunite Pools,4.8,230,Swimming pool contractor,"3152 Crescent Ave, Erlanger, KY 41018, United States","2CF3+3P Erlanger, Kentucky, USA",http://midamericanpools.com/,+1 859-581-8566,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO5EUPBp_mdyU91RtyOBUftyTIBETMZNrxMlKEs=w408-h305-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:41:09.723Z,,,,
https://www.google.com/maps/place/Professional+Pool+and+Spa+Services/data=!4m7!3m6!1s0x8841b1e830520ad9:0x8595e25c4be0f0a4!8m2!3d39.0701147!4d-84.4665274!16s%2Fg%2F1tdwl5l2!19sChIJ2QpSMOixQYgRpPDgS1zilYU,Professional Pool and Spa Services,5.0,15,Swimming pool repair service,"90 Alexandria Pike, Fort Thomas, KY 41075, United States","3GCM+29 Fort Thomas, Kentucky, USA",http://www.propoolspa.com/,+1 859-781-7031,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNJcePmZqFQjrhTC3HQAoCkgx923yoR5N7PsPLD=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:41:14.640Z,,,,
https://www.google.com/maps/place/Aquamarine+Pool+Co.+Inc./data=!4m7!3m6!1s0x8840ff0179c1f85b:0xfec8f38e0acf3693!8m2!3d39.1908007!4d-84.2616657!16s%2Fg%2F1wyc4__d!19sChIJW_jBeQH_QIgRkzbPCo7zyP4,Aquamarine Pool Co. Inc.,4.4,105,Swimming pool contractor,"819 Montclair Ct, Loveland, OH 45140, United States","5PRQ+88 Loveland, Ohio, USA",https://www.aquamarinepools.com/,+1 513-604-6450,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMDbGrB7sLuZBuxUe8k27rBKK9Fjm8IJuBUjHdS=w408-h306-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-10-27T17:41:19.861Z,,,,
