placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,attributes,info
https://www.google.com/maps/place/JWD+Landscaping+%26+Outdoor+Living/data=!4m7!3m6!1s0x4a486bc27410204d:0x647f0265a87c6dde!8m2!3d41.899067!4d-87.879504!16s%2Fg%2F11xkp2npy0!19sChIJTSAQdMJrSEoR3m18qGUCf2Q,JWD Landscaping & Outdoor Living,5.0,42,Landscape designer,,,https://jwdpaversandlandscape.com/?utm_campaign=gmb,+1 773-839-3042,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1Lcs1D1gSBgvBFiq6VIs4_L2kLzoNwVvFeMIBofN2TlN5oPb2vpIoIeyb0MAYmB3szei85sTa0L4SaMHsvMqfHDYBq2I1k_DHmv34SAI7PaH90voh-CL0pIOReqj3Og6zzLsb3XsnDfcC=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:33.544Z,,,
https://www.google.com/maps/place/Phenomenal+Tree+Service/data=!4m7!3m6!1s0x880fd11263082cf7:0x8ab7c2d01ddf7f40!8m2!3d42.0120021!4d-87.6779052!16s%2Fg%2F11ghqv5f89!19sChIJ9ywIYxLRD4gRQH_fHdDCt4o,Phenomenal Tree Service,4.7,93,Tree service,"7121 N Wolcott Ave, Chicago, IL 60626, United States","286C+RR Chicago, Illinois, USA",http://www.phenomenaltreeservice.com/,+1 773-939-5426,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnUJB0cfB8mFn92i41IsGKviMb1EOGpMhgP3KGLF-5rIBkwULCD84BzS4AtGQf4sTPnwbGS_UOveSqZsQ5d8UcyijmE-Q-a4Yv-zVmEemRtn-Hq3wJYvefw3uRTJZa02mbCt6Y2g=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:38.249Z,,,
https://www.google.com/maps/place/AJAX+Tree+Service/data=!4m7!3m6!1s0x880fb50c00000001:0xf58c32c055064e2b!8m2!3d41.8337105!4d-87.731879!16s%2Fg%2F12611srvl!19sChIJAQAAAAy1D4gRK04GVcAyjPU,AJAX Tree Service,4.4,59,Tree service,,,,+1 773-972-1083,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2zbfCkaDQrxMM4N2Uf1SOVgBNhLqIVRY0xw0LvzTLpe9pFpfFcD4X8TNx4o8h8qhqmuDhdrvm19lGUp132Xb3zh_ZnuvsV2DYlimtNoJ2zh-ZGgT1XLjx0UZbWWyi48vSMnwmlxNhlHKc=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:43.149Z,,,
"https://www.google.com/maps/place/Chicago+Specialty+Gardens,+Inc./data=!4m7!3m6!1s0x880e2cd3692dcb8b:0xe9e3a86fd19da20e!8m2!3d41.9149543!4d-87.664046!16s%2Fg%2F1tgj9dmb!19sChIJi8stadMsDogRDqKd0W-o4-k","Chicago Specialty Gardens, Inc.",4.6,20,Landscape designer,"1765 N Elston Ave UNIT 203, Chicago, IL 60642, United States","W87P+X9 Chicago, Illinois, USA",http://chicagogardens.com/,+1 773-697-9897,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNbwIaxY5SLsH7omT9uA1jSJdLXqW2xvZopPx3eWh9FK1Ro24k-ZFFuNGpKBl0kdmHaJ_gu1ypGPGLunZExV25ZWBkNJUswgOeJ-dSjK6a10LST2nc2XZVTGlnasXmPEBzBcy8=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:48.240Z,,,
https://www.google.com/maps/place/Botanical+Concepts+Chicago/data=!4m7!3m6!1s0x880fd313f605c28b:0x90a7d8de4911d2c2!8m2!3d41.9202498!4d-87.6424239!16s%2Fg%2F1tdk15hz!19sChIJi8IF9hPTD4gRwtIRSd7Yp5A,Botanical Concepts Chicago,4.8,25,Deck builder,"528 W Dickens Ave, Chicago, IL 60614, United States","W9C5+32 Chicago, Illinois, USA",https://botanicalconceptschicago.com/,+1 773-404-5707,"Open 24 hours

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFot2H9HN_Q8I7TJF5GcrsC5z6GCFfaeguVKcXq5ZecU5KKZv39Wi5ZhAKrkHR8Y1gqGdQz9ILD_901061P80TC16NJ5R1_Cwwf9Hc0WfDW3iaIITyMO2kq0Pg0rh1xFTiwXoberJUJGysp=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:53.115Z,,,Identifies as women-owned
https://www.google.com/maps/place/Chicago+Christmas+Tree/data=!4m7!3m6!1s0x880e2ca5d70643d7:0x7954e9c1fea36827!8m2!3d41.8832395!4d-87.6237422!16s%2Fm%2F0g57q36!19sChIJ10MG16UsDogRJ2ij_sHpVHk,Chicago Christmas Tree,4.6,265,Tourist attraction,"Chicago, IL 60601, United States","V9MG+7G Chicago, Illinois, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7Lf3LlOcpMad980esDUgWT0XtKz-E6XX9NVi5EhLf2hb0NqYyuZyb7dXjcCLNCGEbxio8HfFdFnmFEYTOlfVd_FfAcpd82kEwbuudxiCGH0e9E4K6SCSz7DTMaD2dGu8c5OUQiQ=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:57.922Z,,,
https://www.google.com/maps/place/Gold+Coast+Auto+Body/data=!4m7!3m6!1s0x880fd32f1ab74dcd:0x3764c58fe184fae8!8m2!3d41.903694!4d-87.651498!16s%2Fg%2F1td7nx_y!19sChIJzU23Gi_TD4gR6PqE4Y_FZDc,Gold Coast Auto Body,4.8,778,Auto body shop,"900 W Division St, Chicago, IL 60642, United States","W83X+FC Chicago, Illinois, USA",http://goldcoastautobody.com/,+1 312-787-0333,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwX7T9wV5RL9IuWy_IeSJ0lFbmKwSGRFV18_nWWCgl264IU2kVPplT5kEQ2xF5xjXlA_eD8L0UL66SshvvZbHEixCxoART5tyF2gosktm6RKl1BkmM2j4FTmKWk9eElz0K25thO9HNtNYb=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:02.719Z,,,LGBTQ+ friendly
https://www.google.com/maps/place/Old+Town+Gardens/data=!4m7!3m6!1s0x880fd34137df433b:0xa8a7419891ebc981!8m2!3d41.9063835!4d-87.6343765!16s%2Fg%2F1tyyxqdp!19sChIJO0PfN0HTD4gRgcnrkZhBp6g,Old Town Gardens,4.2,52,Garden center,"1321 N Wells St, Chicago, IL 60610, United States","W948+H6 Chicago, Illinois, USA",,+1 312-266-6300,Closed · Opens 10 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEGFabHmC54jTWWmbSaSHv09a2BSRox3pd5c9OPy7WBFl3XvoGeWYNAYt0tEJnakwzJ0vDrk3cTkwwcacBKyCaZn65BHEQGmRoCiS5qOs4MUQ9IGPFvNWb7Arnfy5qowsQFdehFA=w408-h307-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:07.565Z,,"Center for landscape design & maintenance, with container garden plants, seasonal decor & lighting. · Delivery",LGBTQ+ friendly
https://www.google.com/maps/place/Sir+Grout+Chicago/data=!4m7!3m6!1s0x880fd250077c34ed:0xc07353500136c53d!8m2!3d41.9277977!4d-87.6419815!16s%2Fg%2F1tfc2mb7!19sChIJ7TR8B1DSD4gRPcU2AVBTc8A,Sir Grout Chicago,4.8,434,Floor refinishing service,"2502 N Clark St #314, Chicago, IL 60614, United States","W9H5+46 Chicago, Illinois, USA",https://www.sirgroutchicago.com/?wtid=gmb,+1 773-312-3081,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7dfVMC_RoHxByMyRulLGBKZHxH6dOvmyF9Kq_36sKpZd5klpDR_Ku1QYrBfeyhRsIslGwWrhKqbJoZeJZlwUHpgaH0_NwRaIVV477206hsVz_BXuwVWyn0vJ6qfHopUkBcEEogQ=w427-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–5 pm,Closed,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:12.233Z,,,
https://www.google.com/maps/place/Huber+Tree+Expert/data=!4m7!3m6!1s0x880e330f77dafcf5:0x2e6e35d58bdef350!8m2!3d41.8571873!4d-87.7876657!16s%2Fg%2F11dyqxpjkc!19sChIJ9fzadw8zDogRUPPei9U1bi4,Huber Tree Expert,5.0,633,Tree service,"1622 Scoville Ave, Berwyn, IL 60402, United States","V646+VW Berwyn, Illinois, USA",https://hubertreeexpert.com/,+1 708-367-3855,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwNrGSoV24obooHemUTsEwh7-hIsk1IjxxlANXG78g9z9t7yVyvUEzDF4_pJ2yV0N0Rj14ZbB0j-f9qiW3lyRnzOYIildnNnYRGiYsyyGAryHyeKmAMNuJw9-EXqWW92aXg2w7q43356ln=w408-h503-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:17.305Z,,,
https://www.google.com/maps/place/Jose+Tree+Care/data=!4m7!3m6!1s0x880e3336b0a7615f:0x145f52d52b44971e!8m2!3d41.8333255!4d-87.7288532!16s%2Fg%2F11mv4ynm9w!19sChIJX2GnsDYzDogRHpdEK9VSXxQ,Jose Tree Care,5.0,11,Tree service,"3257 S Keeler Ave, Chicago, IL 60623, United States","R7MC+8F Chicago, Illinois, USA",,+1 773-600-0797,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTBbhZWw_IOreqACuMJj0zrssofAbW3LSLd0d1mf9zI2mrO7uVoTTnUDJPzVaEYV4DPrVNgzb6RIIgHQ7lFg60ADPNZdNdA8cSLiSxja2wSH864tZbrGLCq9rw_xvcvodoP7E=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:22.058Z,,,
https://www.google.com/maps/place/JC+Licht+Ace+Hardware+Gold+Coast/data=!4m7!3m6!1s0x880fd34e3ba56df1:0xfc1f57eb8b402d3b!8m2!3d41.9021019!4d-87.6292598!16s%2Fg%2F1vcjmvr7!19sChIJ8W2lO07TD4gROy1Ai-tXH_w,JC Licht Ace Hardware Gold Coast,4.6,410,Hardware store,"24 W Maple St, Chicago, IL 60610, United States","W92C+R7 Chicago, Illinois, USA",https://jclicht.com/pages/hardware-1?utm_source=GMB&utm_medium=Gold-Coast-Ace&utm_campaign=GMB_Location_Listings,+1 312-787-6887,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0H5-EdMNihUNxtU0mBoJUou4TEi9o8pyuT0SymgFCD8zkombbVicq-kRLu-YsOTe1uyjhL2DXbYxJfFgGup5os3yVmYXlBCepjuqLm-SYcGjIhAYUKrxNsstnw6DtbwMF7wrxLzU_TW7g=w408-h307-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–6 pm,9 am–6 pm,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:26.956Z,,"Hardware store stocking household tools, garden supplies, home decor & more. · In-store shopping · In-store pick-up · Delivery",
https://www.google.com/maps/place/County+Tree+Service/data=!4m7!3m6!1s0x880e36a793e32f5b:0x696b017ff0ae0b12!8m2!3d41.8179899!4d-87.7876934!16s%2Fg%2F1tz76kmj!19sChIJWy_jk6c2DogREguu8H8Ba2k,County Tree Service,4.7,153,Tree service,"6600 41st St, Stickney, IL 60402, United States","R696+5W Stickney, Illinois, USA",http://www.county-tree-service.com/,+1 708-484-4808,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoRwtaDzS-xzjzMkjA6F9s-dkr7NPaLcjywuvbTkbeZllc-3S7ntl7I-QLeeVxEBUvu3P83EifGAUOuaLqAH5NIEzhVAeg0fFGUCYrFXRZECU-GeGyoRynoLv-E0syiRxqut-Riw=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:31.705Z,,,
https://www.google.com/maps/place/Progressive+Tree+Service/data=!4m7!3m6!1s0x880fd03eaaaaaaab:0xf859dc0df6d37083!8m2!3d42.0385239!4d-87.6948445!16s%2Fg%2F11b7hp0p4y!19sChIJq6qqqj7QD4gRg3DT9g3cWfg,Progressive Tree Service,4.8,99,Tree service,"1124 Florence Ave, Evanston, IL 60202, United States","28Q4+C3 Evanston, Illinois, USA",https://progressivetree.com/?utm_source=gmb&utm_medium=referral,+1 847-530-1533,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvEtIHPyAUbHZ3KkttO73fMCsoGTAJ0IfU86DkNBY9dpEMXPcJzWXgedMsZTb6sdVO88Mrf98KZH2WZHXQQv4xGZ4XRgCK5XGvnB9LdSn6P0sLvaDMUNJ6F51bBbKibWto5sHV=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:36.544Z,,,
https://www.google.com/maps/place/Americana+Iron+Works+%26+Fence/data=!4m7!3m6!1s0x880fd3da5840f145:0x889735ae85f58d75!8m2!3d41.9107042!4d-87.6529072!16s%2Fg%2F11t3czsrn1!19sChIJRfFAWNrTD4gRdY31ha41l4g,Americana Iron Works & Fence,4.7,119,Iron works,"939 W North Ave, Chicago, IL 60642, United States","W86W+7R Chicago, Illinois, USA",https://www.americanafence.com/,+1 312-722-6515,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAERdG6LWe3VbkARheKn2FozEzxKzOXKZcjQNdc7ecxBzEFrehSsmKCciiFfw6vpwqEPZtsM-m-DpHHoSqASPfK4JSTcEMITMTrZSzqvSX4INimZ75XTyUrgk9LaWJD6QH3_vXOJEg=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:35:41.485Z,,,
