placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x87bf1cfe00da004b:0x3a576e53983aab26!8m2!3d38.995407!4d-95.6976037!16s%2Fg%2F1v_z4vjp!19sChIJSwDaAP4cv4cRJqs6mFNuVzo,Roto-Rooter Plumbing & Water Cleanup,4.6,379,Plumber,"1500 SW 41st St, Topeka, KS 66609, United States","X8W2+5X Topeka, Kansas, USA",https://www.rotorooter.com/topeka/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 785-246-9210,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNEpIjRn1o9qT7hq17m5l_qk2A9TwvoGlfzgtPe=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:21.323Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Ace+Plumbing,+Heating+%26+Air+Conditioning,+Appliance+%28Topeka%29/data=!4m7!3m6!1s0x87bf039813f60469:0xa2606df4be2acbc7!8m2!3d39.067965!4d-95.665846!16s%2Fg%2F1tf16d53!19sChIJaQT2E5gDv4cRx8sqvvRtYKI","Ace Plumbing, Heating & Air Conditioning, Appliance (Topeka)",3.7,89,Plumber,"908 N Kansas Ave, Topeka, KS 66608, United States","389M+5M Topeka, Kansas, USA",http://www.aceplumbingkansas.com/,+1 785-234-3384,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN0B-tI7_cKDM4Rk-XlU3uuDlk3cjf1cpQpZzb6=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 am,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:26.340Z,,,
https://www.google.com/maps/place/De+Hart+Plumbing+Heating+%26+Cooling/data=!4m7!3m6!1s0x87bee39279f7ddfb:0xecd5651a978190ee!8m2!3d39.0468654!4d-95.7610425!16s%2Fg%2F11g_z31wtk!19sChIJ-933eZLjvocR7pCBlxpl1ew,De Hart Plumbing Heating & Cooling,5.0,228,HVAC contractor,"1100 SW Wanamaker Rd #3, Topeka, KS 66604, United States","26WQ+PH Topeka, Kansas, USA",http://www.dehartplumbing.com/,+1 785-201-9306,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipM9j1Dl6bxIuL8aIMTFxvWSRsnKkn3ZM6a8KkIc=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:31.150Z,,,
https://www.google.com/maps/place/Carlson+Plumbing/data=!4m7!3m6!1s0x87bf0322fffbbaf5:0x781df42ee5b00003!8m2!3d39.0347374!4d-95.6801871!16s%2Fg%2F1w0sdcwb!19sChIJ9br7_yIDv4cRAwCw5S70HXg,Carlson Plumbing,2.9,15,Plumber,"1820 SW Van Buren St #1493, Topeka, KS 66612, United States","28M9+VW Topeka, Kansas, USA",http://www.plumbingbycarlson.com/,+1 785-232-0515,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipPS-fQ3ZXdl1nYSM4bpCERkbWbCZb1kZwkNbyQT=w408-h306-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:36.075Z,,,
https://www.google.com/maps/place/Cooper%27s+Inc/data=!4m7!3m6!1s0x87bf1ce1cf746b9d:0xe3ef585ecb702e9c!8m2!3d39.0081237!4d-95.6857827!16s%2Fg%2F1tdz0gvw!19sChIJnWt0z-Ecv4cRnC5wy15Y7-M,Cooper's Inc,4.4,38,Plumber,"401 SW 32nd Terrace, Topeka, KS 66611, United States","2857+6M Topeka, Kansas, USA",https://www.coopersinc.net/,+1 785-267-4100,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T9TiXMjhyzg5-yfibCet6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.94052&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:41.165Z,,,
https://www.google.com/maps/place/Wheatland+Contracting/data=!4m7!3m6!1s0x87bf94f952972dc1:0xa6d1e29dc3391c6a!8m2!3d39.013297!4d-95.7080975!16s%2Fg%2F1thghk7h!19sChIJwS2XUvmUv4cRahw5w53i0aY,Wheatland Contracting,4.2,15,Septic system service,,,http://www.wheatlandcontracting.com/,+1 913-833-2304,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipNvwi0rverdAyP_v3QNozyOosuRJYQ0jc0g1QEL=w408-h544-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–12 pm,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:46.005Z,,,
https://www.google.com/maps/place/Redman%27s+Sewer+%26+Drain+Clean/data=!4m7!3m6!1s0x87bf02acb5c7d555:0x95b2d3edf032d1fb!8m2!3d39.0144615!4d-95.7237326!16s%2Fg%2F1tcv6v9k!19sChIJVdXHtawCv4cR-9Ey8O3TspU,Redman's Sewer & Drain Clean,4.7,10,Plumber,"midwest building, 3715 SW 29th St, Topeka, KS 66614, United States","277G+QG Topeka, Kansas, USA",,+1 785-357-8060,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fb_hL5PpW43llxIYp5taAg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.52646&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:48.849Z,,,
https://www.google.com/maps/place/Lentz+Plumbing+Company/data=!4m7!3m6!1s0x87bf02585e7fdfbb:0x6f740f02820361d9!8m2!3d39.058341!4d-95.7006383!16s%2Fg%2F1tdlvstv!19sChIJu99_XlgCv4cR2WEDggIPdG8,Lentz Plumbing Company,3.6,15,Plumber,"605 SW Lindenwood Ave, Topeka, KS 66606, United States","375X+8P Topeka, Kansas, USA",http://lentzplumbingco.com/,+1 785-357-4124,Closed ⋅ Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sBlX3FI0Xs9hTx1no_avvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.03506&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:53.816Z,,,
https://www.google.com/maps/place/McElroy%27s+Inc./data=!4m7!3m6!1s0x87bf1d29f3219ca5:0xfcac3d7c64cf428a!8m2!3d39.0068305!4d-95.6871378!16s%2Fg%2F1tf36gxf!19sChIJpZwh8ykdv4cRikLPZHw9rPw,McElroy's Inc.,4.5,191,HVAC contractor,"3310 SW Topeka Blvd, Topeka, KS 66611, United States","2847+P4 Topeka, Kansas, USA",http://www.mcelroys.com/,+1 785-266-4870,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipOgO3v4s7t2w6Vews_T_Nr-v7hPps-aMxnxoO8C=w430-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:19:58.731Z,,,
https://www.google.com/maps/place/Sdc+Plumbing+%26+Drain+Services/data=!4m7!3m6!1s0x87bf02618869d0eb:0xe4d931cfe4f0aee4!8m2!3d39.0581329!4d-95.7140675!16s%2Fg%2F1tfv5n5s!19sChIJ69BpiGECv4cR5K7w5M8x2eQ,Sdc Plumbing & Drain Services,4.0,1,Plumber,"608 SW Warren Ave, Topeka, KS 66606, United States","375P+79 Topeka, Kansas, USA",,+1 785-354-4252,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z1MnVSiLD7kc5ozF-4HhQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.20187&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:01.479Z,,,
"https://www.google.com/maps/place/Kelly+Owen+Plumbing/@39.0429125,-95.769648,11z/data=!3m1!4b1!4m6!3m5!1s0x56ebe0d93a15f0b:0x2d872335c3dad813!8m2!3d39.0429125!4d-95.769648!16s%2Fg%2F11s16lh0r2",Kelly Owen Plumbing,5.0,2,Plumber,,,,+1 785-230-0366,Closed ⋅ Opens 8 am Tue,,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:08.547Z,,,
https://www.google.com/maps/place/O%E2%80%99Harra%E2%80%99s+Plumbing+Service/data=!4m7!3m6!1s0x87bf0528b97c65a9:0x8f56e4b81e3c4e8a!8m2!3d39.0421891!4d-95.8173782!16s%2Fg%2F1s04cxq36!19sChIJqWV8uSgFv4cRik48HrjkVo8,O’Harra’s Plumbing Service,4.8,49,Plumber,"1335 SW Auburn Rd #109, Topeka, KS 66615, United States","25RM+V2 Topeka, Kansas, USA",http://oharrasplumbingservice.com/,+1 785-260-0521,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNyznDPs4OS_aaJdy1nta_sbWNvN4ayOeFvTPXn=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:13.498Z,,,
https://www.google.com/maps/place/Stewart%27s+Plumbing+%26+Drain+Cleaning/data=!4m7!3m6!1s0x87bf03a1c71969e1:0x8a55a6da1683d4d2!8m2!3d39.034119!4d-95.5153455!16s%2Fg%2F11fwbqzv1t!19sChIJ4WkZx6EDv4cR0tSDFtqmVYo,Stewart's Plumbing & Drain Cleaning,4.3,4,Plumber,,,,,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM7DbFkUKXtc-RNAgRyRhcT2DWkR9kDAkWFFoRy=w408-h542-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:18.309Z,,,
https://www.google.com/maps/place/JS+Plumbing+LLC/data=!4m7!3m6!1s0x18a40c246b207d3:0x94e04781c10c557b!8m2!3d39.0069335!4d-95.489599!16s%2Fg%2F11xf1bf4q0!19sChIJ0weyRsJAigERe1UMwYFH4JQ,JS Plumbing LLC,5.0,6,Plumber,,,https://jsplumbingtopeka.com/,+1 785-431-9924,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNtSTRJGy8_Jy7PGZRZ-uE3ta9kuWnQ-3zrNdJb=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8:30 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:23.129Z,,,
https://www.google.com/maps/place/Affordable+Plumbing+LLC/data=!4m7!3m6!1s0x87bf1b3c4df46bf5:0x6fa19d684bfcfdb2!8m2!3d39.079592!4d-95.5474539!16s%2Fg%2F11cn6c5dhc!19sChIJ9Wv0TTwbv4cRsv38S2idoW8,Affordable Plumbing LLC,4.8,24,Plumber,,,http://plumbertopekaks.com/,+1 785-408-2548,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN49nS_ZB8KzqZOu183-57gz9VWNkVIQnubDIAo=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:28.155Z,,,
"https://www.google.com/maps/place/Rooter-Man+Plumbing,+Water+Cleanup,+Septic+Pumping,+Septic+Cleaning+%26+Drain+Cleaning/data=!4m7!3m6!1s0x87bfa7fee48fffff:0xe7f3deb038537d79!8m2!3d39.1244076!4d-95.7397955!16s%2Fg%2F11ggsyb5n8!19sChIJ__-P5P6nv4cReX1TOLDe8-c","Rooter-Man Plumbing, Water Cleanup, Septic Pumping, Septic Cleaning & Drain Cleaning",4.3,54,Plumber,,,https://rooterman.com/northeast-kansas/,+1 833-470-4376,,https://lh3.googleusercontent.com/p/AF1QipOoOYBqeKwaF1L6UatPlhY1QhjvBP9A0mbCg_Bt=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:33.159Z,,,
https://www.google.com/maps/place/Smelter+Plumbing+Heating+%26+AC/data=!4m7!3m6!1s0x87bf02630301b87d:0x86a04d9c3a279371!8m2!3d39.058864!4d-95.7172074!16s%2Fg%2F1tfk4z0v!19sChIJfbgBA2MCv4cRcZMnOpxNoIY,Smelter Plumbing Heating & AC,,,Plumber,"3408 SW 6th Ave, Topeka, KS 66606, United States","375M+G4 Topeka, Kansas, USA",,+1 785-232-7775,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=utWjHnUbN30Wl4fExLVXwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.8341&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:35.825Z,,,
https://www.google.com/maps/place/Advanced+Plumbing+Services+Llc/data=!4m7!3m6!1s0x87bf03c5e5991147:0x6ae37d72c1a72f53!8m2!3d39.0844114!4d-95.6765284!16s%2Fg%2F1262jsz5j!19sChIJRxGZ5cUDv4cRUy-nwXJ942o,Advanced Plumbing Services Llc,,,Plumber,"915 NW 6th St, Topeka, KS 66609, United States","38MF+Q9 Topeka, Kansas, USA",,+1 785-380-7133,Closed ⋅ Opens 7:30 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TM6UKg46BidX22nBTj_Mcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.63577&pitch=0&thumbfov=100,false,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:40.478Z,,,
https://www.google.com/maps/place/Anderson+Plumbing+Services+LLC/data=!4m7!3m6!1s0x87bf051dbdb90e13:0x3acd9c0360a1b5d1!8m2!3d39.0666309!4d-95.9284175!16s%2Fg%2F11mqwcpv_q!19sChIJEw65vR0Fv4cR0bWhYAOczTo,Anderson Plumbing Services LLC,5.0,9,Plumber,,,,+1 785-845-4722,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNjJuvR4wKsTZglnjkRwwG5orCwUCQCwpRjq3Xu=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 am,9 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:45.435Z,,,
https://www.google.com/maps/place/H+D+Services/data=!4m7!3m6!1s0x87bf029bffffffff:0xcb6b8bd18ecb05c!8m2!3d39.0591079!4d-95.6493736!16s%2Fg%2F1tfqlxdb!19sChIJ_____5sCv4cRXLDsGL24tgw,H D Services,3.3,22,Heating contractor,"1608 NE Seward Ave, Topeka, KS 66616, United States","3952+J7 Topeka, Kansas, USA",http://hdservicecompany.com/,+1 785-783-2600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nqLMUKxDcyj-oQoHdCgaXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.52542&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-11-11T04:20:48.396Z,,,
