placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/SameDay+Electrician/data=!4m7!3m6!1s0x549aacfb03e8489f:0x782949370787eaed!8m2!3d47.2102213!4d-122.44022!16s%2Fg%2F1tnmrfqh!19sChIJn0joA_usmlQR7eqHBzdJKXg,SameDay Electrician,5.0,6,Electrician,"701 S 52nd St, Tacoma, WA 98408, United States","6H65+3W Tacoma, Washington, USA",https://usmapol.org/details/sameday-electrician-ChIJn0j,+1 253-210-2472,Open · Closes 9:30 pm,,https://lh3.googleusercontent.com/p/AF1QipMTEppM5D1CkAtalzz8xL79cTofPMGDBq5aOR4Y=w408-h271-k-no,true,7 am–9:30 pm,7 am–9:30 pm,7 am–9:30 pm,7 am–9:30 pm,7 am–9:30 pm,7 am–9:30 pm,7 am–9:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:47.671Z,,
"https://www.google.com/maps/place/DEAR+Services+Electrical+Repair,+Plumbing+%26+Heating,+Air+Conditioning/data=!4m7!3m6!1s0x5491017de69968eb:0x70ed13ac096e5769!8m2!3d47.21777!4d-122.471286!16s%2Fg%2F11y4nc45lc!19sChIJ62iZ5n0BkVQRaVduCawT7XA","DEAR Services Electrical Repair, Plumbing & Heating, Air Conditioning",4.9,518,Plumber,"4301 S Pine St Suite 30-10, Tacoma, WA 98409, United States","6G9H+4F Tacoma, Washington, USA",https://www.dearservices.net/tacoma-plumbing-services/?utm_source=google&utm_medium=organic&utm_campaign=gbp_tacoma,+1 206-558-8690,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPms1ZL_3W5jsce2JBbiPTC5OKn5KYWnvgxrhO-=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:52.707Z,,
https://www.google.com/maps/place/Power+Systems+West/data=!4m7!3m6!1s0x549058fb6dc775ef:0x6c0fe34ee60984e0!8m2!3d47.2383477!4d-122.3647281!16s%2Fg%2F1tf23smh!19sChIJ73XHbftYkFQR4IQJ5k7jD2w,Power Systems West,4.4,8,Electric generator shop,"2004 48th Ave Ct E, Fife, WA 98424, United States","6JQP+84 Fife, Washington, USA",http://powersystemswest.com/,+1 800-247-5899,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ow7wai_HwW47A9M3UaRGvg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.69934&pitch=0&thumbfov=100,false,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:57.451Z,,
https://www.google.com/maps/place/Center+Electric+Inc/data=!4m7!3m6!1s0x54905560ad8f1741:0x443376a04bd86f6f!8m2!3d47.232422!4d-122.4500386!16s%2Fg%2F1v6p3_9b!19sChIJQRePrWBVkFQRb2_YS6B2M0Q,Center Electric Inc,4.8,39,Electric motor repair shop,"1212 S 30th St, Tacoma, WA 98409, United States","6GJX+XX Tacoma, Washington, USA",http://www.centerelectric.com/,+1 253-383-4416,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRDnKTaDi17X-1RBi2Z2Lg7suU_iRqEk1ccJ6NvLrj2IB_B3qY3oFuuCFowDZrE4d6OeI_8FcPQLbwKx2mlG__TTmZ9QgJrnpPCqzUxJvLxjx9QSX-Kyuy7BEFjJXxz4f-31vGLA=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:02.116Z,,
https://www.google.com/maps/place/Puget+Sound+Electric+Company/data=!4m7!3m6!1s0x54905536972274d3:0xa8c40132b78f1707!8m2!3d47.239328!4d-122.5293831!16s%2Fg%2F11gy83qjkb!19sChIJ03QilzZVkFQRBxePtzIBxKg,Puget Sound Electric Company,4.2,28,Electrical installation service,"2213 70th Ave W, University Place, WA 98466, United States","6FQC+P6 University Place, Washington, USA",https://pugetsoundelectric.com/,+1 253-292-1878,"Open · Closes 5 pm

Confirmed by this business 3 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMbgQyMOvyDzEkCwtxKDMyoWl8ZYhOCr-DERSHO=w426-h240-k-no,true,9 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:06.985Z,,
https://www.google.com/maps/place/Systems+Electric+NW/data=!4m7!3m6!1s0xe23c4880c02b6cd:0x10ac188a13aa8fe7!8m2!3d47.22914!4d-122.4025845!16s%2Fg%2F11rvb_fqmt!19sChIJzbYCDIjEIw4R54-qE4oYrBA,Systems Electric NW,5.0,7,Electrician,"1850 E Fairbanks St, Tacoma, WA 98404, United States","6HHW+MX Tacoma, Washington, USA",http://systemselectricnw.com/,+1 253-381-7402,Open · Closes 8 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxifUAal8uj8JrNefOpEydukmWRb_0vzqgSm_1yJorYhPTzm1zW6rJtc5_OsIxCBGvZSaUCB02wyoRnV3KGPzykc4iC_-3NRQN7kYvjZKUYoYthBPQoIXV8nZ2Ls3BB9CiyiK6Mcg=w408-h544-k-no,true,6 am–8 pm,Closed,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:11.906Z,,
https://www.google.com/maps/place/The+Tacoma+Electrician/data=!4m7!3m6!1s0x5490ff546865e56b:0xf377dc7c23642bd3!8m2!3d47.2138577!4d-122.4293679!16s%2Fg%2F11h56fjy2z!19sChIJa-VlaFT_kFQR0ytkI3zcd_M,The Tacoma Electrician,4.9,29,Electrician,"4635 E B St, Tacoma, WA 98404, United States","6H7C+G7 Tacoma, Washington, USA",http://thetacomaelectrician.com/,+1 253-260-6273,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN_fAZKAHobC0Au4OPK6ik4MW0EmuBydZh7byxW=w408-h543-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:16.872Z,,
https://www.google.com/maps/place/Top+Electrician+Tacoma/data=!4m7!3m6!1s0x87b21eaf00000001:0x99b25109138dcd6e!8m2!3d47.2643269!4d-122.4879547!16s%2Fg%2F11g8pbyryy!19sChIJAQAAAK8esocRbs2NEwlRspk,Top Electrician Tacoma,4.7,15,Electrician,"3812 N 16th St, Tacoma, WA 98406, United States","7G76+PR Tacoma, Washington, USA",,+1 253-260-1548,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipN5d0xkmrcVlP4VCC0xVhSAd5DnniFWePL14UNn=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:21.715Z,,
https://www.google.com/maps/place/Home+Electrician+Pros+Tacoma/data=!4m7!3m6!1s0x808e325772bcf897:0x3bd5c2fd605a8647!8m2!3d47.2533642!4d-122.4933226!16s%2Fg%2F1v9lb_s3!19sChIJl_i8clcyjoARR4ZaYP3C1Ts,Home Electrician Pros Tacoma,5.0,2,Electrician,"728 S Tyler St, Tacoma, WA 98405, United States","7G34+8M Tacoma, Washington, USA",,+1 253-210-2822,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMyPx6P8xEMZNQ2UplErVCST-ToBjVo7ZgPrOM7=w408-h274-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:26.584Z,,
https://www.google.com/maps/place/Washington+Generators+LLC/data=!4m7!3m6!1s0x549058b6789f8bd3:0x16e1eba0cb68b23!8m2!3d47.3974712!4d-122.2209973!16s%2Fg%2F1tfy_ts1!19sChIJ04ufeLZYkFQRI4u2DLoebgE,Washington Generators LLC,4.8,578,Electrician,"8901 S 228th St, Kent, WA 98031, United States","9QWH+XJ Kent, Washington, USA",http://washingtongenerators.com/,+1 253-200-1119,Closed · Opens 8:30 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPKyECbK48ThjJMUsk1Wxv2Hs6K9ALZK11dK_FX=w408-h544-k-no,true,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:31.392Z,,
https://www.google.com/maps/place/N+C+Machinery/data=!4m7!3m6!1s0x5490ff606e4e06a9:0x4fd90e9ecd4fd583!8m2!3d47.2436095!4d-122.3927551!16s%2Fg%2F1tfzggk0!19sChIJqQZObmD_kFQRg9VPzZ4O2U8,N C Machinery,4.6,49,Construction equipment supplier,"2603 Pacific Hwy E, Fife, WA 98424, United States","6JV4+CV Fife, Washington, USA",https://www.ncmachinery.com/company/locations/fife/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=fife,+1 253-896-0878,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNcFNnDtGuyTeqUzIrsEt6VJQMTE2tthd0Cv5uC=w426-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:36.235Z,,
https://www.google.com/maps/place/McLendon+Hardware/data=!4m7!3m6!1s0x549054d2256b9a63:0xc2cce575c2b125d2!8m2!3d47.2592116!4d-122.5145117!16s%2Fg%2F1263pvv49!19sChIJY5prJdJUkFQR0iWxwnXlzMI,McLendon Hardware,4.3,604,Hardware store,"1015 N Pearl St, Tacoma, WA 98406, United States","7F5P+M5 Tacoma, Washington, USA",https://www.mclendons.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB&utm_content=Tacoma,+1 253-888-4000,,,https://lh3.googleusercontent.com/p/AF1QipOe21j-cDg4iOvdQGvdio2nlNKMDdcshJLzCU1G=w408-h544-k-no,true,8 am–8 pm,9 am–7 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:41.626Z,,"Full range of hardware, building materials, tools & various supplies for home projects & repairs. · In-store shopping · In-store pick-up · Delivery"
https://www.google.com/maps/place/Alltech+Electric+Inc/data=!4m7!3m6!1s0x549055a700b3a4bf:0xd60829cca40c0c64!8m2!3d47.259065!4d-122.4432404!16s%2Fg%2F119tykv88!19sChIJv6SzAKdVkFQRZAwMpMwpCNY,Alltech Electric Inc,4.0,8,Electrician,"455 St Helens Ave, Tacoma, WA 98402, United States","7H54+JP Tacoma, Washington, USA",https://www.alltechelectricinc.com/,+1 253-927-8324,Closed · Opens 8 am Sun,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvX8RiaETwgztK3uQU1PDUdCeniwiMMqzdJnSLXxuTbX5USPyHAfMcBnq03zXfMAtGdg4hhPDR6Q4DvdfHPaTDHpaI8C4Ot5UAfnOlkkD_PeZWuY_co_eg9JRHE-r-m-_3XXHc=w408-h544-k-no,false,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:46.518Z,,
https://www.google.com/maps/place/Aakool+Heating+and+Cooling/data=!4m7!3m6!1s0x68cb08525c579fe1:0x282ec47e4b5454de!8m2!3d47.2757754!4d-122.3622489!16s%2Fg%2F11tsnn49tj!19sChIJ4Z9XXFIIy2gR3lRUS37ELig,Aakool Heating and Cooling,4.9,47,HVAC contractor,"6401 21st St NE, Tacoma, WA 98422, United States","7JGQ+84 Tacoma, Washington, USA",https://aakool.com/,+1 425-470-3516,Open · Closes 8 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxClmVz2oZhXNxNr6cNQ5GJ3kJ1qZJIQknZRX3_MHxLylH8U-VaASgC_hoTusNWkrFyLojffcjeHsQyPzs6g9PPC-aOxVwwai8xUuPrM9ZVNMngmXLVJ7jyuuluLPpKCNBaFXSPvw=w408-h544-k-no,true,7 am–8 pm,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:51.466Z,,
https://www.google.com/maps/place/Vets+Electric+Co./data=!4m7!3m6!1s0x54910195c028b3b3:0x5130bd626789a4d2!8m2!3d47.1819573!4d-122.434506!16s%2Fg%2F11g6wg1m10!19sChIJs7MowJUBkVQR0qSJZ2K9MFE,Vets Electric Co.,4.9,158,Electrician,"8218 Pacific Ave, Tacoma, WA 98408, United States","5HJ8+Q5 Tacoma, Washington, USA",,+1 253-882-6958,,,https://lh3.googleusercontent.com/p/AF1QipP8ZAL4HwON3BbXQ-FnqismBXRXTYnGvB5r1Bcj=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:38:56.504Z,,
https://www.google.com/maps/place/ENERGY+SOLUTIONS/data=!4m7!3m6!1s0x54905563ebbf0191:0x4d1f350ea5286ac1!8m2!3d47.2220952!4d-122.4717266!16s%2Fg%2F11j8w61h_l!19sChIJkQG_62NVkFQRwWoopQ41H00,ENERGY SOLUTIONS,5.0,3,Electrician,"2602 S 38th St PMB #A-43, Tacoma, WA 98409, United States","6GCH+R8 Tacoma, Washington, USA",,+1 855-432-4641,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipP6OqE_iEMytYM4gvf18eYf98M_uK3TPWHBahnS=w427-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:39:01.403Z,,
https://www.google.com/maps/place/MD+Electric+Group/data=!4m7!3m6!1s0x549055986a1f354d:0xb8e9814267b80b75!8m2!3d47.2551995!4d-122.4263233!16s%2Fg%2F1v2ppxry!19sChIJTTUfaphVkFQRdQu4Z0KB6bg,MD Electric Group,2.3,9,Electrician,"672 E 11th St Suite A, Tacoma, WA 98421, United States","7H4F+3F Tacoma, Washington, USA",https://www.mdmarineelectric.com/,+1 253-383-9983,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNU6oucijdFaB4pMs6x1JtLaXlUEnLGYKYuXfUA=w426-h240-k-no,true,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:39:06.325Z,,
https://www.google.com/maps/place/Skipper+%26+Son%E2%80%99s+Electric+LLC/data=!4m7!3m6!1s0xa9ed286f8524c7a9:0x27006b40243dba19!8m2!3d47.1861722!4d-122.541544!16s%2Fg%2F11sgs68lkb!19sChIJqcckhW8o7akRGbo9JEBrACc,Skipper & Son’s Electric LLC,4.9,153,Electrician,"7821 78th Ave SW, Lakewood, WA 98498, United States","5FP5+F9 Lakewood, Washington, USA",http://www.skipperandsonelectric.com/?utm_source=Skipper+%26+Son%27s+GBP&utm_medium=GBP+Click&utm_campaign=Skipper+%26+Son%27s&utm_id=GBP,+1 253-400-2948,Closed · Opens 8 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOy4z85JTK3Bf8eTLn_ZHJPK0c0dWtDxoRYazYw=w426-h240-k-no,true,Closed,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:39:11.300Z,,
https://www.google.com/maps/place/North+Coast+Electric/data=!4m7!3m6!1s0x54905580da6ea57b:0x4bd394606f18331d!8m2!3d47.2404113!4d-122.4150956!16s%2Fg%2F1tx8sxrz!19sChIJe6Vu2oBVkFQRHTMYb2CU00s,North Coast Electric,4.6,27,Electrical supply store,"1301 E 26th St, Tacoma, WA 98421, United States","6HRM+5X Tacoma, Washington, USA",https://www.northcoast.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=tacoma-branch,+1 253-383-1606,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOxpXfaidoi4KY_6erJINIv9o6omIg72oBD9kSU=w446-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:39:16.153Z,,· In-store shopping · In-store pick-up · Delivery
